gap,seq_num,hidden_size,num_layer,ACC
3,30,512,1,91.16005820951834
3,30,512,2,92.11943730798943
3,30,512,3,92.33610607067786
3,30,1024,1,92.41874921399184
3,30,1024,2,90.96997897989615
3,30,1024,3,92.00697076947952
3,50,512,1,94.28805882204091
3,50,512,2,94.47097396893335
3,50,512,3,94.49989335974638
3,50,1024,1,94.42687189794347
3,50,1024,2,94.60255719713264
3,50,1024,3,94.53098170487038
3,80,512,1,95.28756849040222
3,80,512,2,95.09896908720808
3,80,512,3,95.37220110460153
3,80,1024,1,95.26932870285927
3,80,1024,2,95.22555321275618
3,80,1024,3,95.14165019005858
3,100,512,1,95.49133245000056
3,100,512,2,95.66530741081948
3,100,512,3,95.72513424333738
3,100,1024,1,95.65503040891457
3,100,1024,2,95.53317452918485
3,100,1024,3,95.44912333503393
3,150,512,1,95.88758223530947
3,150,512,2,95.7720334718676
3,150,512,3,95.75861490579048
3,150,1024,1,95.69599493076393
3,150,1024,2,95.8253349982295
3,150,1024,3,95.77501537544029
3,200,512,1,95.62372683695183
3,200,512,2,95.51695152703839
3,200,512,3,95.82099611519617
3,200,1024,1,95.4105548529757
3,200,1024,2,95.6827940296699
3,200,1024,3,95.9130046269301
3,250,512,1,95.77459911975625
3,250,512,2,95.73997414668678
3,250,512,3,95.85154350435505
3,250,1024,1,95.47759379520483
3,250,1024,2,95.68418946785263
3,250,1024,3,95.86577821550583
3,300,512,1,95.41523303096653
3,300,512,2,95.86448232718173
3,300,512,3,95.85666249609008
3,300,1024,1,95.87660306537379
3,300,1024,2,95.56185486393494
3,300,1024,3,95.82108226462309
5,30,512,1,90.38938180250727
5,30,512,2,90.27862590849767
5,30,512,3,90.94555599458793
5,30,1024,1,90.82103044889064
5,30,1024,2,90.73661649724008
5,30,1024,3,90.8455763497252
5,50,512,1,93.16637756577046
5,50,512,2,93.53678808904307
5,50,512,3,93.35790690951141
5,50,1024,1,93.0621807844271
5,50,1024,2,93.43981883010504
5,50,1024,3,93.44764864604413
5,80,512,1,94.26605643989814
5,80,512,2,94.45568866278893
5,80,512,3,94.3414230925855
5,80,1024,1,94.37120507630874
5,80,1024,2,94.24113682086441
5,80,1024,3,94.31771906472416
5,100,512,1,94.73297987488304
5,100,512,2,94.79352033609129
5,100,512,3,94.94945788768827
5,100,1024,1,94.69751172589235
5,100,1024,2,94.72625315697103
5,100,1024,3,94.5715386449944
5,150,512,1,95.08017537976177
5,150,512,2,95.07831228030952
5,150,512,3,94.96466321372235
5,150,1024,1,94.86716100905467
5,150,1024,2,94.81064699233644
5,150,1024,3,95.04974475537504
5,200,512,1,95.06740601954364
5,200,512,2,95.0251392595116
5,200,512,3,95.03649450847543
5,200,1024,1,94.92609625466038
5,200,1024,2,94.92483456033106
5,200,1024,3,95.00747553890119
5,250,512,1,94.94333769197242
5,250,512,2,95.10870958644207
5,250,512,3,94.87154834243519
5,250,1024,1,94.74848088608569
5,250,1024,2,94.73758428838808
5,250,1024,3,94.83629464400174
5,300,512,1,94.87189509273193
5,300,512,2,94.91488987472884
5,300,512,3,94.7064303256529
5,300,1024,1,94.86994078445935
5,300,1024,2,94.52728540066576
5,300,1024,3,94.66017836320168
10,30,512,1,88.46080214415622
10,30,512,2,88.84847324590791
10,30,512,3,89.25887814683641
10,30,1024,1,88.23944673111899
10,30,1024,2,89.07461472192973
10,30,1024,3,89.23375131616731
10,50,512,1,91.39452302136624
10,50,512,2,91.43424616310563
10,50,512,3,91.3680409268733
10,50,1024,1,91.41498645801987
10,50,1024,2,91.41137526331629
10,50,1024,3,91.3259103219982
10,80,512,1,93.23890967397114
10,80,512,2,92.81376026432146
10,80,512,3,93.22919197317914
10,80,1024,1,92.96681405179534
10,80,1024,2,93.2838540401341
10,80,1024,3,93.25105679996113
10,100,512,1,93.66803954878213
10,100,512,2,93.80492037691114
10,100,512,3,93.7450350146047
10,100,1024,1,93.7853659728927
10,100,1024,2,93.70592620656784
10,100,1024,3,93.89169304474292
10,150,512,1,93.82772744197592
10,150,512,2,93.8451036365893
10,150,512,3,93.98038972322205
10,150,1024,1,93.86744445823507
10,150,1024,2,94.08712920441852
10,150,1024,3,93.96425468536677
10,200,512,1,93.6470914546509
10,200,512,2,93.94588870117754
10,200,512,3,93.96858216293906
10,200,1024,1,93.95345318843138
10,200,1024,2,93.74669053682645
10,200,1024,3,94.00010085983006
10,250,512,1,93.83078204060719
10,250,512,2,93.8871453276116
10,250,512,3,93.83462499199385
10,250,1024,1,93.83718695958495
10,250,1024,2,93.73855120732723
10,250,1024,3,93.41830525843848
10,300,512,1,93.77709502297787
10,300,512,2,93.67424784867144
10,300,512,3,93.68205902646687
10,300,1024,1,93.59092861885358
10,300,1024,2,93.77709502297787
10,300,1024,3,93.74324658586437
15,30,512,1,87.88558106169297
15,30,512,2,88.48457675753228
15,30,512,3,88.76076040172167
15,30,1024,1,87.61477761836441
15,30,1024,2,88.57962697274031
15,30,1024,3,88.14383070301291
15,50,512,1,90.58469087694611
15,50,512,2,90.57747469827353
15,50,512,3,90.66226479767639
15,50,1024,1,90.54680593891504
15,50,1024,2,90.26717901535243
15,50,1024,3,90.02543702982086
15,80,512,1,92.60877480429637
15,80,512,2,92.52503185872929
15,80,512,3,92.80356817768069
15,80,1024,1,92.52503185872929
15,80,1024,2,92.55598033861278
15,80,1024,3,92.61059530311306
15,100,512,1,93.20400798666446
15,100,512,2,93.22232602443626
15,100,512,3,93.1563810884578
15,100,1024,1,93.23331684709935
15,100,1024,2,93.16920371489806
15,100,1024,3,93.10142697514242
15,150,512,1,93.31795520500037
15,150,512,2,93.48165786144803
15,150,512,3,93.2044794999628
15,150,1024,1,93.27144876850956
15,150,1024,2,93.43701168241685
15,150,1024,3,93.42212962273979
15,200,512,1,93.40777689604353
15,200,512,2,93.33219967501795
15,200,512,3,93.3869931602615
15,200,1024,1,93.49469070022295
15,200,1024,2,93.42667120129992
15,200,1024,3,93.41722404867173
15,250,512,1,93.18818876473524
15,250,512,2,93.407057558653
15,250,512,3,93.16323004262182
15,250,1024,1,93.30530276849825
15,250,1024,2,93.30914257190032
15,250,1024,3,93.12099220519909
15,300,512,1,93.01281926206318
15,300,512,2,93.13574369280599
15,300,512,3,93.17866968449395
15,300,1024,1,93.03428225790717
15,300,1024,2,93.24696103490663
15,300,1024,3,93.18842559169578
