seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
250,3,32,1,83.72868791697553,4588,2698
250,3,32,2,84.32171979243884,4588,2698
250,3,32,3,84.54410674573758,4588,2698
250,3,64,1,81.80133432171979,4588,2698
250,3,64,2,84.8776871756857,4588,2698
250,3,64,3,85.43365455893255,4588,2698
250,3,128,1,82.83914010378058,4588,2698
250,3,128,2,83.13565604151223,4588,2698
250,3,128,3,83.32097850259451,4588,2698
250,3,256,1,82.7279466271312,4588,2698
250,3,256,2,83.2468495181616,4588,2698
250,3,256,3,85.69310600444774,4588,2698
250,5,32,1,83.02446256486286,2760,2698
250,5,32,2,85.24833209785027,2760,2698
250,5,32,3,86.17494440326168,2760,2698
250,5,64,1,83.28391401037806,2760,2698
250,5,64,2,84.50704225352112,2760,2698
250,5,64,3,84.46997776130468,2760,2698
250,5,128,1,82.9132690882135,2760,2698
250,5,128,2,84.84062268346923,2760,2698
250,5,128,3,85.54484803558191,2760,2698
250,5,256,1,83.2468495181616,2760,2698
250,5,256,2,84.69236471460341,2760,2698
250,5,256,3,83.72868791697553,2760,2698
250,10,32,1,82.9132690882135,1374,2698
250,10,32,2,85.13713862120089,1374,2698
250,10,32,3,82.9132690882135,1374,2698
250,10,64,1,83.98813936249073,1374,2698
250,10,64,2,85.02594514455151,1374,2698
250,10,64,3,85.50778354336546,1374,2698
250,10,128,1,83.5063009636768,1374,2698
250,10,128,2,84.54410674573758,1374,2698
250,10,128,3,84.17346182357302,1374,2698
250,10,256,1,84.98888065233507,1374,2698
250,10,256,2,84.28465530022238,1374,2698
250,10,256,3,82.6538176426983,1374,2698
300,3,32,1,83.65458750963762,4598,2594
300,3,32,2,85.04240555127217,4598,2594
300,3,32,3,85.27370855821125,4598,2594
300,3,64,1,83.03777949113338,4598,2594
300,3,64,2,83.92444101773323,4598,2594
300,3,64,3,87.62528912875868,4598,2594
300,3,128,1,83.53893600616809,4598,2594
300,3,128,2,87.47108712413261,4598,2594
300,3,128,3,87.27833461835004,4598,2594
300,3,256,1,83.23053199691596,4598,2594
300,3,256,2,84.50269853508095,4598,2594
300,3,256,3,85.77486507324595,4598,2594
300,5,32,1,85.54356206630686,2760,2594
300,5,32,2,84.73400154202005,2760,2594
300,5,32,3,84.11719352351581,2760,2594
300,5,64,1,82.42097147262915,2760,2594
300,5,64,2,85.46646106399383,2760,2594
300,5,64,3,84.92675404780262,2760,2594
300,5,128,1,83.61603700848111,2760,2594
300,5,128,2,84.6183500385505,2760,2594
300,5,128,3,87.66383962991519,2760,2594
300,5,256,1,82.53662297609868,2760,2594
300,5,256,2,84.96530454895914,2760,2594
300,5,256,3,85.23515805705475,2760,2594
300,10,32,1,84.3484965304549,1374,2594
300,10,32,2,84.19429452582884,1374,2594
300,10,32,3,85.04240555127217,1374,2594
300,10,64,1,83.65458750963762,1374,2594
300,10,64,2,83.50038550501156,1374,2594
300,10,64,3,85.8905165767155,1374,2594
300,10,128,1,85.85196607555898,1374,2594
300,10,128,2,86.62297609868928,1374,2594
300,10,128,3,85.85196607555898,1374,2594
300,10,256,1,85.00385505011565,1374,2594
300,10,256,2,86.50732459521974,1374,2594
300,10,256,3,85.54356206630686,1374,2594
