gap,seq_num,hidden_size,num_layer,ACC,train_size,val_size
5,100,32,2,83.58490566037736,9535,9540
5,100,32,3,83.0712788259958,9535,9540
5,100,64,1,83.45911949685535,9535,9540
5,100,64,2,82.88259958071279,9535,9540
5,100,64,3,83.75262054507337,9535,9540
5,100,128,1,83.64779874213836,9535,9540
5,100,128,2,83.03983228511531,9535,9540
5,100,128,3,82.61006289308176,9535,9540
5,100,256,1,83.52201257861635,9535,9540
5,100,256,2,83.62683438155136,9535,9540
5,100,256,3,83.57442348008385,9535,9540
10,100,32,1,83.42767295597484,4773,9540
10,100,32,2,82.79874213836477,4773,9540
10,100,32,3,82.42138364779875,4773,9540
10,100,64,1,83.48008385744235,4773,9540
10,100,64,2,82.12788259958072,4773,9540
10,100,64,3,82.84067085953879,4773,9540
10,100,128,1,83.9203354297694,4773,9540
10,100,128,2,83.80503144654088,4773,9540
10,100,128,3,83.34381551362684,4773,9540
10,100,256,1,82.28511530398323,4773,9540
10,100,256,2,82.77777777777777,4773,9540
10,100,256,3,82.9454926624738,4773,9540
15,100,32,1,82.63102725366876,3183,9540
15,100,32,2,82.46331236897275,3183,9540
15,100,32,3,83.15513626834381,3183,9540
15,100,64,1,82.45283018867924,3183,9540
15,100,64,2,82.16981132075472,3183,9540
15,100,64,3,83.16561844863732,3183,9540
15,100,128,1,82.30607966457023,3183,9540
15,100,128,2,82.02306079664571,3183,9540
15,100,128,3,82.73584905660377,3183,9540
15,100,256,1,82.78825995807128,3183,9540
15,100,256,2,82.10691823899371,3183,9540
15,100,256,3,82.88259958071279,3183,9540
3,150,32,1,81.69871794871794,15591,9360
3,150,32,2,81.86965811965813,15591,9360
3,150,32,3,81.27136752136752,15591,9360
3,150,64,1,81.9017094017094,15591,9360
3,150,64,2,83.9423076923077,15591,9360
3,150,64,3,82.87393162393163,15591,9360
3,150,128,1,81.1431623931624,15591,9360
3,150,128,2,81.39957264957265,15591,9360
3,150,128,3,83.58974358974359,15591,9360
3,150,256,1,82.98076923076923,15591,9360
3,150,256,2,82.84188034188034,15591,9360
3,150,256,3,82.9594017094017,15591,9360
5,150,32,1,82.2542735042735,9355,9360
5,150,32,2,82.12606837606837,9355,9360
5,150,32,3,82.45726495726495,9355,9360
5,150,64,1,81.8482905982906,9355,9360
5,150,64,2,82.22222222222223,9355,9360
5,150,64,3,82.99145299145299,9355,9360
5,150,128,1,82.36111111111111,9355,9360
5,150,128,2,83.37606837606837,9355,9360
5,150,128,3,82.97008547008546,9355,9360
5,150,256,1,81.9017094017094,9355,9360
5,150,256,2,82.44658119658119,9355,9360
5,150,256,3,82.64957264957265,9355,9360
10,150,32,1,81.91239316239316,4683,9360
10,150,32,2,82.21153846153847,4683,9360
10,150,32,3,81.97649572649573,4683,9360
10,150,64,1,82.3076923076923,4683,9360
10,150,64,2,82.22222222222223,4683,9360
10,150,64,3,82.35042735042735,4683,9360
10,150,128,1,81.9551282051282,4683,9360
10,150,128,2,83.03418803418803,4683,9360
10,150,128,3,83.16239316239316,4683,9360
