gap,seq_num,hidden_size,num_layer,ACC,train_size_localization,train_size_detection
5,80,128,1,90.46822742474916,2989,17053
5,80,128,2,89.76588628762542,2989,17053
5,80,128,3,89.83277591973244,2989,17053
5,80,256,1,89.03010033444816,2989,17053
5,80,256,2,90.73578595317726,2989,17053
5,80,256,3,90.33444816053512,2989,17053
5,80,512,1,91.27090301003345,2989,17053
5,80,512,2,88.79598662207358,2989,17053
5,80,512,3,89.79933110367892,2989,17053
5,80,1024,1,90.76923076923077,2989,17053
5,80,1024,2,89.89966555183946,2989,17053
5,80,1024,3,89.79933110367892,2989,17053
5,100,32,1,93.61204013377926,2989,16969
5,100,32,2,92.50836120401338,2989,16969
5,100,32,3,92.34113712374582,2989,16969
5,100,64,1,91.17056856187291,2989,16969
5,100,64,2,94.41471571906355,2989,16969
5,100,64,3,92.47491638795987,2989,16969
5,100,128,1,92.6086956521739,2989,16969
5,100,128,2,91.97324414715719,2989,16969
5,100,128,3,93.1438127090301,2989,16969
5,100,256,1,93.51170568561874,2989,16969
5,100,256,2,93.31103678929766,2989,16969
5,100,256,3,93.27759197324414,2989,16969
5,100,512,1,94.21404682274247,2989,16969
5,100,512,2,93.67892976588628,2989,16969
5,100,512,3,93.21070234113712,2989,16969
5,100,1024,1,93.77926421404682,2989,16969
5,100,1024,2,93.57859531772576,2989,16969
5,100,1024,3,93.04347826086956,2989,16969
5,150,32,1,96.52173913043478,2989,16759
5,150,32,2,96.98996655518394,2989,16759
5,150,32,3,96.12040133779264,2989,16759
5,150,64,1,97.22408026755853,2989,16759
5,150,64,2,97.19063545150502,2989,16759
5,150,64,3,96.72240802675586,2989,16759
5,150,128,1,97.22408026755853,2989,16759
5,150,128,2,97.25752508361204,2989,16759
5,150,128,3,97.09030100334448,2989,16759
5,150,256,1,97.62541806020067,2989,16759
5,150,256,2,97.59197324414716,2989,16759
5,150,256,3,97.09030100334448,2989,16759
5,150,512,1,96.68896321070234,2989,16759
5,150,512,2,97.3913043478261,2989,16759
5,150,512,3,97.49163879598662,2989,16759
5,150,1024,1,97.45819397993311,2989,16759
5,150,1024,2,97.52508361204013,2989,16759
5,150,1024,3,97.45819397993311,2989,16759
5,200,32,1,98.02675585284281,2989,16549
5,200,32,2,97.62541806020067,2989,16549
5,200,32,3,97.3913043478261,2989,16549
5,200,64,1,98.19397993311037,2989,16549
5,200,64,2,97.52508361204013,2989,16549
5,200,64,3,97.95986622073579,2989,16549
5,200,128,1,98.22742474916387,2989,16549
5,200,128,2,97.72575250836121,2989,16549
5,200,128,3,97.19063545150502,2989,16549
5,200,256,1,98.59531772575251,2989,16549
5,200,256,2,98.29431438127091,2989,16549
5,200,256,3,97.9933110367893,2989,16549
5,200,512,1,98.06020066889631,2989,16549
5,200,512,2,98.42809364548495,2989,16549
5,200,512,3,97.95986622073579,2989,16549
5,200,1024,1,97.95986622073579,2989,16549
5,200,1024,2,98.32775919732441,2989,16549
5,200,1024,3,98.09364548494983,2989,16549
5,250,32,1,98.66220735785953,2989,16339
5,250,32,2,98.06020066889631,2989,16339
5,250,32,3,98.16053511705685,2989,16339
5,250,64,1,98.62876254180603,2989,16339
5,250,64,2,98.49498327759197,2989,16339
5,250,64,3,98.56187290969899,2989,16339
5,250,128,1,98.66220735785953,2989,16339
5,250,128,2,98.72909698996655,2989,16339
5,250,128,3,98.49498327759197,2989,16339
5,250,256,1,98.62876254180603,2989,16339
5,250,256,2,98.32775919732441,2989,16339
5,250,256,3,98.59531772575251,2989,16339
5,250,512,1,98.42809364548495,2989,16339
5,250,512,2,98.72909698996655,2989,16339
5,250,512,3,98.32775919732441,2989,16339
5,250,1024,1,98.69565217391305,2989,16339
5,250,1024,2,98.8628762541806,2989,16339
5,250,1024,3,98.89632107023411,2989,16339
5,300,32,1,98.66220735785953,2989,16129
5,300,32,2,98.59531772575251,2989,16129
5,300,32,3,98.32775919732441,2989,16129
5,300,64,1,98.69565217391305,2989,16129
5,300,64,2,98.89632107023411,2989,16129
5,300,64,3,98.09364548494983,2989,16129
5,300,128,1,98.79598662207358,2989,16129
5,300,128,2,98.52842809364549,2989,16129
5,300,128,3,98.42809364548495,2989,16129
5,300,256,1,98.66220735785953,2989,16129
5,300,256,2,98.69565217391305,2989,16129
5,300,256,3,98.56187290969899,2989,16129
5,300,512,1,98.92976588628763,2989,16129
5,300,512,2,98.66220735785953,2989,16129
5,300,512,3,99.06354515050167,2989,16129
5,300,1024,1,98.56187290969899,2989,16129
5,300,1024,2,98.49498327759197,2989,16129
5,300,1024,3,98.72909698996655,2989,16129
10,30,32,1,65.95174262734585,1492,8638
10,30,32,2,68.83378016085791,1492,8638
10,30,32,3,69.63806970509384,1492,8638
10,30,64,1,69.16890080428955,1492,8638
10,30,64,2,69.23592493297588,1492,8638
10,30,64,3,68.96782841823057,1492,8638
10,30,128,1,68.90080428954424,1492,8638
10,30,128,2,69.63806970509384,1492,8638
10,30,128,3,69.16890080428955,1492,8638
10,30,256,1,67.96246648793566,1492,8638
10,30,256,2,69.36997319034853,1492,8638
10,30,256,3,68.36461126005362,1492,8638
10,30,512,1,68.90080428954424,1492,8638
10,30,512,2,68.76675603217159,1492,8638
10,30,512,3,69.36997319034853,1492,8638
10,30,1024,1,70.71045576407506,1492,8638
10,30,1024,2,69.83914209115281,1492,8638
10,30,1024,3,70.3083109919571,1492,8638
10,50,32,1,72.9892761394102,1492,8596
10,50,32,2,75.53619302949062,1492,8596
10,50,32,3,76.74262734584451,1492,8596
10,50,64,1,74.19571045576407,1492,8596
10,50,64,2,76.54155495978553,1492,8596
10,50,64,3,75.60321715817695,1492,8596
10,50,128,1,75.0,1492,8596
10,50,128,2,76.4745308310992,1492,8596
10,50,128,3,75.80428954423593,1492,8596
10,50,256,1,75.7372654155496,1492,8596
10,50,256,2,75.20107238605898,1492,8596
10,50,256,3,76.00536193029491,1492,8596
10,50,512,1,77.21179624664879,1492,8596
10,50,512,2,76.13941018766756,1492,8596
10,50,512,3,77.68096514745308,1492,8596
10,50,1024,1,77.34584450402144,1492,8596
10,50,1024,2,76.4745308310992,1492,8596
10,50,1024,3,77.4798927613941,1492,8596
10,80,32,1,78.55227882037534,1492,8533
10,80,32,2,78.68632707774799,1492,8533
10,80,32,3,78.28418230563003,1492,8533
10,80,64,1,80.76407506702412,1492,8533
10,80,64,2,79.15549597855228,1492,8533
10,80,64,3,79.89276139410188,1492,8533
10,80,128,1,81.23324396782841,1492,8533
10,80,128,2,79.55764075067025,1492,8533
10,80,128,3,78.75335120643432,1492,8533
10,80,256,1,79.42359249329759,1492,8533
10,80,256,2,80.76407506702412,1492,8533
10,80,256,3,81.09919571045576,1492,8533
10,80,512,1,79.89276139410188,1492,8533
10,80,512,2,81.16621983914209,1492,8533
10,80,512,3,79.62466487935657,1492,8533
10,80,1024,1,80.89812332439678,1492,8533
10,80,1024,2,80.36193029490616,1492,8533
10,80,1024,3,82.57372654155496,1492,8533
10,100,32,1,80.76407506702412,1492,8491
10,100,32,2,82.171581769437,1492,8491
10,100,32,3,82.03753351206434,1492,8491
10,100,64,1,83.44504021447722,1492,8491
10,100,64,2,82.9088471849866,1492,8491
10,100,64,3,81.16621983914209,1492,8491
10,100,128,1,83.37801608579089,1492,8491
10,100,128,2,81.63538873994638,1492,8491
10,100,128,3,83.98123324396782,1492,8491
10,100,256,1,83.17694369973191,1492,8491
10,100,256,2,84.85254691689008,1492,8491
10,100,256,3,83.6461126005362,1492,8491
10,100,512,1,84.11528150134048,1492,8491
10,100,512,2,84.71849865951742,1492,8491
10,100,512,3,84.98659517426273,1492,8491
10,100,1024,1,85.05361930294906,1492,8491
10,100,1024,2,84.58445040214477,1492,8491
10,100,1024,3,85.92493297587131,1492,8491
10,150,32,1,90.28150134048258,1492,8386
10,150,32,2,89.81233243967829,1492,8386
10,150,32,3,89.6112600536193,1492,8386
10,150,64,1,90.61662198391421,1492,8386
10,150,64,2,89.94638069705094,1492,8386
10,150,64,3,89.74530831099196,1492,8386
10,150,128,1,91.15281501340482,1492,8386
10,150,128,2,88.06970509383378,1492,8386
10,150,128,3,91.68900804289544,1492,8386
10,150,256,1,91.01876675603218,1492,8386
10,150,256,2,90.95174262734585,1492,8386
10,150,256,3,88.67292225201072,1492,8386
10,150,512,1,90.01340482573727,1492,8386
10,150,512,2,91.82305630026809,1492,8386
10,150,512,3,90.48257372654156,1492,8386
10,150,1024,1,92.22520107238606,1492,8386
10,150,1024,2,91.28686327077747,1492,8386
10,150,1024,3,93.2975871313673,1492,8386
10,200,32,1,95.17426273458445,1492,8281
10,200,32,2,93.49865951742628,1492,8281
10,200,32,3,94.43699731903486,1492,8281
10,200,64,1,94.23592493297588,1492,8281
10,200,64,2,95.17426273458445,1492,8281
10,200,64,3,94.70509383378015,1492,8281
10,200,128,1,95.24128686327077,1492,8281
10,200,128,2,94.83914209115281,1492,8281
10,200,128,3,94.70509383378015,1492,8281
10,200,256,1,95.50938337801608,1492,8281
10,200,256,2,94.3029490616622,1492,8281
10,200,256,3,94.77211796246648,1492,8281
10,200,512,1,94.10187667560322,1492,8281
10,200,512,2,93.63270777479893,1492,8281
10,200,512,3,94.43699731903486,1492,8281
10,200,1024,1,94.77211796246648,1492,8281
10,200,1024,2,93.90080428954424,1492,8281
10,200,1024,3,93.02949061662198,1492,8281
10,250,32,1,94.90616621983914,1492,8176
10,250,32,2,94.90616621983914,1492,8176
10,250,32,3,94.50402144772119,1492,8176
10,250,64,1,95.64343163538874,1492,8176
10,250,64,2,94.43699731903486,1492,8176
10,250,64,3,95.04021447721179,1492,8176
10,250,128,1,94.77211796246648,1492,8176
10,250,128,2,94.3029490616622,1492,8176
10,250,128,3,94.3029490616622,1492,8176
10,250,256,1,95.64343163538874,1492,8176
10,250,256,2,94.23592493297588,1492,8176
10,250,256,3,95.71045576407506,1492,8176
10,250,512,1,96.0455764075067,1492,8176
10,250,512,2,95.17426273458445,1492,8176
10,250,512,3,94.43699731903486,1492,8176
10,250,1024,1,94.23592493297588,1492,8176
10,250,1024,2,96.38069705093834,1492,8176
10,250,1024,3,94.57104557640751,1492,8176
10,300,32,1,96.38069705093834,1492,8071
10,300,32,2,96.17962466487936,1492,8071
10,300,32,3,95.64343163538874,1492,8071
