gap,seq_num,hidden_size,num_layer,ACC,train_size,val_size
1,100,32,1,85.98205703300225,64139,6242
1,100,32,2,86.43063120794618,64139,6242
1,100,32,3,87.08747196411407,64139,6242
1,100,64,1,86.2544056392182,64139,6242
1,100,64,2,87.53604613905799,64139,6242
1,100,64,3,82.93816084588273,64139,6242
1,100,128,1,87.35982057033003,64139,6242
1,100,128,2,86.09420057673823,64139,6242
1,100,128,3,83.37071451457867,64139,6242
1,100,256,1,86.47869272669017,64139,6242
1,100,256,2,86.71900032041013,64139,6242
1,100,256,3,87.71227170778596,64139,6242
1,100,512,1,86.07818007049023,64139,6242
1,100,512,2,87.69625120153796,64139,6242
1,100,512,3,86.23838513297021,64139,6242
1,100,1024,1,84.33194488945851,64139,6242
1,100,1024,2,87.82441525152194,64139,6242
1,100,1024,3,85.54950336430632,64139,6242
1,150,32,1,86.8611935377514,63239,6066
1,150,32,2,83.6630398944939,63239,6066
1,150,32,3,84.55324760962743,63239,6066
1,150,64,1,86.81173755357732,63239,6066
1,150,64,2,86.00395647873393,63239,6066
1,150,64,3,86.79525222551929,63239,6066
1,150,128,1,84.04220243982856,63239,6066
1,150,128,2,83.86086383119024,63239,6066
1,150,128,3,84.20705572040883,63239,6066
1,150,256,1,84.70161556214968,63239,6066
1,150,256,2,86.46554566435871,63239,6066
1,150,256,3,85.60830860534125,63239,6066
1,150,512,1,84.86646884272997,63239,6066
1,150,512,2,86.53148697659084,63239,6066
1,150,512,3,86.56445763270689,63239,6066
1,150,1024,1,86.02044180679195,63239,6066
1,150,1024,2,85.44345532476096,63239,6066
1,150,1024,3,88.69106495219255,63239,6066
1,200,32,1,83.90434192672998,62339,5896
1,200,32,2,85.36295793758481,62339,5896
1,200,32,3,84.59972862957937,62339,5896
1,200,64,1,87.68656716417911,62339,5896
1,200,64,2,83.0223880597015,62339,5896
1,200,64,3,83.53120759837178,62339,5896
1,200,128,1,83.46336499321573,62339,5896
1,200,128,2,85.60040705563094,62339,5896
1,200,128,3,87.24559023066486,62339,5896
1,200,256,1,86.4314789687924,62339,5896
1,200,256,2,85.78697421981003,62339,5896
1,200,256,3,86.9572591587517,62339,5896
1,200,512,1,84.4640434192673,62339,5896
1,200,512,2,83.10719131614654,62339,5896
1,200,512,3,86.66892808683853,62339,5896
1,200,1024,1,87.68656716417911,62339,5896
1,200,1024,2,86.9572591587517,62339,5896
1,200,1024,3,83.921302578019,62339,5896
