seq_num,d_model,n_head,num_layer,dropout,learning_rate,weight_decay,ACC
100,64,2,1,0.3,0.0001,0.0001,89.0852539201867
100,64,2,4,0.3,0.0001,0.0001,93.2020120464733
100,64,2,8,0.3,0.0001,0.0001,93.3848009555852
100,64,4,1,0.3,0.0001,0.0001,89.9771073997251
100,64,4,4,0.3,0.0001,0.0001,93.1269415212338
100,64,4,8,0.3,0.0001,0.0001,93.5419798678055
100,64,8,1,0.3,0.0001,0.0001,90.9497007931279
100,64,8,4,0.3,0.0001,0.0001,93.302888064764
100,64,8,8,0.3,0.0001,0.0001,93.6291711549327
100,128,2,1,0.3,0.0001,0.0001,88.8158602124261
100,128,2,4,0.3,0.0001,0.0001,93.6473522977641
100,128,2,8,0.3,0.0001,0.0001,93.564266429986
100,128,4,1,0.3,0.0001,0.0001,90.9975973522
100,128,4,4,0.3,0.0001,0.0001,93.391252328848
100,128,4,8,0.3,0.0001,0.0001,93.6016061964463
100,128,8,1,0.3,0.0001,0.0001,91.9561150221204
100,128,8,4,0.3,0.0001,0.0001,93.5957413116619
100,128,8,8,0.3,0.0001,0.0001,93.6209603162346
100,256,2,1,0.3,0.0001,0.0001,90.1460160815141
100,256,2,4,0.3,0.0001,0.0001,93.6119674928986
100,256,2,8,0.3,0.0001,0.0001,93.5920268846319
100,256,4,1,0.3,0.0001,0.0001,91.33463273114
100,256,4,4,0.3,0.0001,0.0001,93.4878274316301
100,256,4,8,0.3,0.0001,0.0001,93.3705297359433
100,256,8,1,0.3,0.0001,0.0001,92.296669331931
100,256,8,4,0.3,0.0001,0.0001,93.4598714808248
100,256,8,8,0.3,0.0001,0.0001,93.6866470258192
100,512,2,1,0.3,0.0001,0.0001,90.3880403269478
100,512,2,4,0.3,0.0001,0.0001,93.8559466999271
100,512,2,8,0.3,0.0001,0.0001,92.8753379639857
100,512,4,1,0.3,0.0001,0.0001,90.5243011501039
100,512,4,4,0.3,0.0001,0.0001,93.5091365130132
100,512,4,8,0.3,0.0001,0.0001,93.2688717330148
100,512,8,1,0.3,0.0001,0.0001,91.2726604485855
100,512,8,4,0.3,0.0001,0.0001,93.5046401013452
100,512,8,8,0.3,0.0001,0.0001,93.6719848138583
100,1024,2,1,0.3,0.0001,0.0001,88.5705125322813
100,1024,2,4,0.3,0.0001,0.0001,88.2057166986955
100,1024,2,8,0.3,0.0001,0.0001,86.1199681732252
100,1024,4,1,0.3,0.0001,0.0001,90.8286886704111
100,1024,4,4,0.3,0.0001,0.0001,89.5755582881574
100,1024,4,8,0.3,0.0001,0.0001,86.782895650015
100,1024,8,1,0.3,0.0001,0.0001,91.3872211980396
100,1024,8,4,0.3,0.0001,0.0001,91.1389410755026
100,1024,8,8,0.3,0.0001,0.0001,88

200,64,2,4,0.3,0.0001,0.0001,93.74357976232956
200,64,2,8,0.3,0.0001,0.0001,93.22779814232112
200,64,4,1,0.3,0.0001,0.0001,89.15885425114348
200,64,4,4,0.3,0.0001,0.0001,93.30565197175636
200,64,4,8,0.3,0.0001,0.0001,93.22563553594793
200,64,8,1,0.3,0.0001,0.0001,91.83183572841989
200,64,8,4,0.3,0.0001,0.0001,93.31105848768937
200,64,8,8,0.3,0.0001,0.0001,93.29592024307695
200,128,2,1,0.3,0.0001,0.0001,87.66665585363481
200,128,2,4,0.3,0.0001,0.0001,93.55543300786107
200,128,2,8,0.3,0.0001,0.0001,93.40405056173701
200,128,4,1,0.3,0.0001,0.0001,91.8523804889653
200,128,4,4,0.3,0.0001,0.0001,93.12183043003428
200,128,4,8,0.3,0.0001,0.0001,93.19535904672311
200,128,8,1,0.3,0.0001,0.0001,92.9477406169916
200,128,8,4,0.3,0.0001,0.0001,93.71114066673154
200,128,8,8,0.3,0.0001,0.0001,93.10993609498168
200,256,2,1,0.3,0.0001,0.0001,88.83878850790973
200,256,2,4,0.3,0.0001,0.0001,93.37485537569879
200,256,2,8,0.3,0.0001,0.0001,93.3943188330576
200,256,4,1,0.3,0.0001,0.0001,90.97436230144571
200,256,4,4,0.3,0.0001,0.0001,92.88178112260897
200,256,4,8,0.3,0.0001,0.0001,93.33160324823477
200,256,8,1,0.3,0.0001,0.0001,92.82230944734594
200,256,8,4,0.3,0.0001,0.0001,92.97909840940301
200,256,8,8,0.3,0.0001,0.0001,93.05911484521145
200,512,2,1,0.3,0.0001,0.0001,87.72180231615143
200,512,2,4,0.3,0.0001,0.0001,93.59111601301889
200,512,2,8,0.3,0.0001,0.0001,93.47217266249284
200,512,4,1,0.3,0.0001,0.0001,90.92678496123528
200,512,4,4,0.3,0.0001,0.0001,93.4029692585504
200,512,4,8,0.3,0.0001,0.0001,93.85603529373601
200,512,8,1,0.3,0.0001,0.0001,92.02971421156778
200,512,8,4,0.3,0.0001,0.0001,93.1996842594695
200,512,8,8,0.3,0.0001,0.0001,93.47866048161244

200,1024,2,1,0.3,0.0001,0.0001,88.545755344341
200,1024,2,4,0.3,0.0001,0.0001,92.04593375936679
200,1024,2,8,0.3,0.0001,0.0001,90.25745828872958
200,1024,4,1,0.3,0.0001,0.0001,89.86386392880699
200,1024,4,4,0.3,0.0001,0.0001,92.22867399790228
200,1024,4,4,0.3,0.0001,0.0001,92.35734907710773
200,1024,4,8,0.3,0.0001,0.0001,86.04361977054747
200,1024,8,1,0.3,0.0001,0.0001,92.02863290838118
200,1024,8,4,0.3,0.0001,0.0001,93.31538370043576
200,1024,8,8,0.3,0.0001,0.0001,91.05978525318714

300,64,2,1,0.3,0.0001,0.0001,85.23908271789088
300,64,2,4,0.3,0.0001,0.0001,93.34109457804296
300,64,2,8,0.3,0.0001,0.0001,92.90331186864093
300,64,4,1,0.3,0.0001,0.0001,87.55654188040407
300,64,4,4,0.3,0.0001,0.0001,92.28362498635718
300,64,4,8,0.3,0.0001,0.0001,92.15993014879761
300,64,8,1,0.3,0.0001,0.0001,91.19462533803859
300,64,8,4,0.3,0.0001,0.0001,92.72868386267447
300,64,8,8,0.3,0.0001,0.0001,93.0439844290028
300,128,2,1,0.3,0.0001,0.0001,88.88686773141242
300,128,2,4,0.3,0.0001,0.0001,92.89118492378215
300,128,2,8,0.3,0.0001,0.0001,92.55163046773626
300,128,4,1,0.3,0.0001,0.0001,89.84732176422794
300,128,4,4,0.3,0.0001,0.0001,91.99136561526055
300,128,4,8,0.3,0.0001,0.0001,91.8943500563903
300,128,8,1,0.3,0.0001,0.0001,90.84900740956331
300,128,8,4,0.3,0.0001,0.0001,92.46189107578128
300,128,8,8,0.3,0.0001,0.0001,92.10172081347547
300,256,2,1,0.3,0.0001,0.0001,86.7100811292611
300,256,2,4,0.3,0.0001,0.0001,92.22662834552091
300,256,2,8,0.3,0.0001,0.0001,92.50312268830113
300,256,4,1,0.3,0.0001,0.0001,89.95767696244285
300,256,4,4,0.3,0.0001,0.0001,92.60013824717139
300,256,4,8,0.3,0.0001,0.0001,92.36366282242514
300,256,8,1,0.3,0.0001,0.0001,91.76822982985897
300,256,8,4,0.3,0.0001,0.0001,92.31272965401827
300,256,8,8,0.3,0.0001,0.0001,92.51403693867404
300,512,2,1,0.3,0.0001,0.0001,85.7047574004681
300,512,2,4,0.3,0.0001,0.0001,93.34837074495822
300,512,2,8,0.3,0.0001,0.0001,93.00881628891233
300,512,4,1,0.3,0.0001,0.0001,88.92082317701701
300,512,4,4,0.3,0.0001,0.0001,92.72140769575921
300,512,4,8,0.3,0.0001,0.0001,92.94939425910431
300,512,8,1,0.3,0.0001,0.0001,90.71561101611671
300,512,8,4,0.3,0.0001,0.0001,92.3442597106511
300,512,8,8,0.3,0.0001,0.0001,92.33092007130644
300,1024,2,1,0.3,0.0001,0.0001,87.51409757339833
300,1024,2,4,0.3,0.0001,0.0001,90.98725458095342
300,1024,2,8,0.3,0.0001,0.0001,84.82191581474879
300,1024,4,1,0.3,0.0001,0.0001,86.85560446756648
300,1024,4,4,0.3,0.0001,0.0001,92.39155479560034
300,1024,4,8,0.3,0.0001,0.0001,86.44450103685378
300,1024,8,1,0.3,0.0001,0.0001,90.99574344235457
300,1024,8,4,0.3,0.0001,0.0001,92.47037993718243
300,1024,8,8,0.3,0.0001,0.0001,88.0270673409248
