gap,seq_num,hidden_size,num_layer,ACC
3,200,512,3,93.88693024427097
3,200,1024,1,93.20700075547721
3,200,1024,2,93.36439184084614
3,200,1024,3,93.66658272475448
3,250,32,1,93.79766141331977
3,250,32,2,93.82308083375699
3,250,32,3,93.70869344178952
3,250,64,1,93.74682257244535
3,250,64,2,93.39730554143365
3,250,64,3,93.8421453990849
3,250,128,1,93.39095068632435
3,250,128,2,93.55617691916625
3,250,128,3,93.58159633960345
3,250,256,1,93.68962887646161
3,250,256,2,93.86120996441281
3,250,256,3,93.4799186578546
3,250,512,1,93.61337061514998
3,250,512,2,93.39730554143365
3,250,512,3,94.18530757498729
3,250,1024,1,93.96288764616166
3,250,1024,2,93.51804778851042
3,250,1024,3,93.63879003558719
3,300,32,1,94.34107532400873
3,300,32,2,93.97536250481201
3,300,32,3,94.05235467727448
3,300,64,1,94.0459386629026
3,300,64,2,94.15501090722444
3,300,64,3,93.22468882330297
3,300,128,1,93.38508918259977
3,300,128,2,93.75080200179649
3,300,128,3,93.92403438983703
3,300,256,1,94.06518670601822
3,300,256,2,93.71872192993712
3,300,256,3,94.0459386629026
3,300,512,1,94.0010265622995
3,300,512,2,93.92403438983703
3,300,512,3,93.53265751315283
3,300,1024,1,93.84704221737456
3,300,1024,2,93.63531374310278
3,300,1024,3,93.94328243295266
5,30,32,1,82.34576684622421
5,30,32,2,83.06738489683912
5,30,32,3,82.6710031507267
5,30,64,1,82.17298505945726
5,30,64,2,82.34576684622421
5,30,64,3,82.37625774977131
5,30,128,1,82.22380323203578
5,30,128,2,82.43723955686553
5,30,128,3,82.57953044008538
5,30,256,1,82.18314869397297
5,30,256,2,83.07754853135481
5,30,256,3,82.3356032117085
5,30,512,1,82.05102144526883
5,30,512,2,82.85394857200934
5,30,512,3,82.50838499847545
5,30,1024,1,82.36609411525562
5,30,1024,2,81.79693058237626
5,30,1024,3,81.53267608496799
5,50,32,1,85.65745180046925
5,50,32,2,85.54524125267776
5,50,32,3,86.24910741609712
5,50,64,1,85.68805467713965
5,50,64,2,85.42282974599613
5,50,64,3,85.9328776905029
5,50,128,1,86.00428440273386
5,50,128,2,85.9328776905029
5,50,128,3,86.014485361624
5,50,256,1,85.81046618382128
5,50,256,2,85.42282974599613
5,50,256,3,85.68805467713965
5,50,512,1,85.77986330715088
5,50,512,2,85.77986330715088
5,50,512,3,85.61664796490871
5,50,1024,1,86.03488727940426
5,50,1024,2,85.59624604712843
5,50,1024,3,85.69825563602978
5,80,32,1,87.5884706123705
5,80,32,2,88.00902656682737
5,80,32,3,87.68078777310494
5,80,64,1,87.05508257257155
5,80,64,2,88.23469073751154
5,80,64,3,88.02954149143503
5,80,128,1,87.40383629090164
5,80,128,2,87.83464970766232
5,80,128,3,87.57821315006667
5,80,256,1,87.52692583854754
5,80,256,2,87.96799671761207
5,80,256,3,87.63975792388963
5,80,512,1,87.32177659247102
5,80,512,2,87.85516463226998
5,80,512,3,87.59872807467433
5,80,1024,1,87.77310493383936
5,80,1024,2,87.11662734639451
5,80,1024,3,87.47563852702841
5,100,32,1,88.04694739009575
5,100,32,2,88.00576546895913
5,100,32,3,87.83074230412849
5,100,64,1,87.86162874498095
5,100,64,2,87.60424173787708
5,100,64,3,87.9645835478225
5,100,128,1,87.62483269844539
5,100,128,2,88.27344795634717
5,100,128,3,87.91310614640173
5,100,256,1,87.61453721816123
5,100,256,2,87.42921857304643
5,100,256,3,88.0366519098116
5,100,512,1,87.86162874498095
5,100,512,2,87.85133326469679
5,100,512,3,87.68660558015031
5,100,1024,1,87.7380829815711
5,100,1024,2,87.60424173787708
5,100,1024,3,88.16019767322146
5,150,32,1,89.41078665696769
5,150,32,2,90.09664345838097
5,150,32,3,88.83923932245662
5,150,64,1,89.42117842668607
5,150,64,2,89.41078665696769
5,150,64,3,89.19255949288164
5,150,128,1,89.07825002597943
5,150,128,2,88.87041463161177
5,150,128,3,89.44196196612283
5,150,256,1,89.34843603865738
5,150,256,2,89.10942533513457
5,150,256,3,88.86002286189338
5,150,512,1,89.2133430323184
5,150,512,2,89.57705497246181
5,150,512,3,89.48352904499636
5,150,1024,1,89.39000311753091
5,150,1024,2,88.83923932245662
5,150,1024,3,89.83684921542138
5,200,32,1,89.03807825448442
5,200,32,2,89.48914297702717
5,200,32,3,89.63600125878527
5,200,64,1,89.03807825448442
5,200,64,2,89.19542641351096
5,200,64,3,89.24787579985315
5,200,128,1,88.89121997272632
5,200,128,2,89.62551138151683
5,200,128,3,89.21640616804784
5,200,256,1,89.18493653624253
5,200,256,2,89.30032518619532
5,200,256,3,89.26885555439002
5,200,512,1,89.44718346795342
5,200,512,2,89.19542641351096
5,200,512,3,89.32130494073219
5,200,1024,1,89.46816322249029
5,200,1024,2,89.39473408161125
5,200,1024,3,89.0590580090213
5,250,32,1,90.06671608598963
5,250,32,2,90.18320449009849
5,250,32,3,89.81255956793392
5,250,64,1,89.93963782696177
5,250,64,2,90.10907550566557
5,250,64,3,89.80196971301493
5,250,128,1,90.06671608598963
5,250,128,2,89.68548130890606
5,250,128,3,89.62194217939214
5,250,256,1,89.50545377528329
5,250,256,2,89.3148363867415
5,250,256,3,90.11966536058456
5,250,512,1,89.70666101874404
5,250,512,2,89.53722334004024
5,250,512,3,90.06671608598963
5,250,1024,1,89.60076246955417
5,250,1024,2,90.01376681139469
5,250,1024,3,89.84432913269089
5,300,32,1,89.99251577034107
5,300,32,2,89.22270929113654
5,300,32,3,90.20635090345344
5,300,64,1,90.11012509355287
5,300,64,2,90.00320752699669
5,300,64,3,90.16358387683097
5,300,128,1,89.75729712391745
5,300,128,2,90.00320752699669
5,300,128,3,89.9604405003742
5,300,256,1,89.9604405003742
5,300,256,2,90.08874158024163
5,300,256,3,89.91767347375173
5,300,512,1,89.88559820378488
5,300,512,2,90.05666631027478
5,300,512,3,89.97113225702984
5,300,1024,1,89.59692077408319
5,300,1024,2,90.09943333689725
5,300,1024,3,89.59692077408319
10,30,32,1,80.51209103840682
10,30,32,2,80.67465962202805
10,30,32,3,80.93883357041251
10,30,64,1,80.75594391383865
10,30,64,2,80.36984352773827
10,30,64,3,80.47144889250153
10,30,128,1,80.93883357041251
10,30,128,2,80.75594391383865
10,30,128,3,80.28855923592765
10,30,256,1,81.08108108108108
10,30,256,2,80.7762649867913
10,30,256,3,80.89819142450722
10,30,512,1,80.67465962202805
10,30,512,2,80.39016460069092
10,30,512,3,80.00406421459053
10,30,1024,1,80.97947571631782
10,30,1024,2,80.75594391383865
10,30,1024,3,80.89819142450722
10,50,32,1,84.62166020803589
10,50,32,2,84.62166020803589
10,50,32,3,84.7848256169692
10,50,64,1,84.60126453191923
10,50,64,2,85.3355088721191
10,50,64,3,84.47889047521926
10,50,128,1,84.7848256169692
10,50,128,2,84.98878237813584
10,50,128,3,84.51968182745259
10,50,256,1,84.88680399755252
10,50,256,2,85.23353049153579
10,50,256,3,84.70324291250255
10,50,512,1,84.86640832143586
10,50,512,2,85.31511319600244
10,50,512,3,84.58086885580256
10,50,1024,1,84.60126453191923
10,50,1024,2,84.47889047521926
10,50,1024,3,84.03018560065266
10,80,32,1,85.64397046759639
10,80,32,2,86.25922887612798
10,80,32,3,86.15668580803937
10,80,64,1,86.2797374897457
10,80,64,2,86.19770303527481
10,80,64,3,86.15668580803937
10,80,128,1,86.21821164889253
10,80,128,2,86.01312551271533
10,80,128,3,85.99261689909763
10,80,256,1,85.58244462674323
10,80,256,2,86.40278917145201
10,80,256,3,86.58736669401148
10,80,512,1,85.72600492206726
10,80,512,2,86.68990976210009
10,80,512,3,86.5053322395406
10,80,1024,1,86.21821164889253
10,80,1024,2,86.0746513535685
10,80,1024,3,85.74651353568498
10,100,32,1,85.9201317414574
10,100,32,2,85.85837793330589
10,100,32,3,86.45533141210375
10,100,64,1,85.79662412515438
10,100,64,2,85.61136270069987
10,100,64,3,86.39357760395224
10,100,128,1,86.22890078221491
10,100,128,2,86.2906545903664
10,100,128,3,85.75545491972005
10,100,256,1,86.1671469740634
10,100,256,2,86.00247015232605
10,100,256,3,86.02305475504323
10,100,512,1,85.13791683820503
10,100,512,2,86.10539316591189
10,100,512,3,85.89954713874022
10,100,1024,1,86.00247015232605
10,100,1024,2,86.10539316591189
10,100,1024,3,86.24948538493207
10,150,32,1,86.43257843340952
10,150,32,2,86.84811967587783
10,150,32,3,86.64034905464368
10,150,64,1,86.1416995636817
10,150,64,2,86.20403075005194
10,150,64,3,85.53916476210264
10,150,128,1,86.2871389985456
10,150,128,2,85.49761063785581
10,150,128,3,86.2871389985456
10,150,256,1,86.05859131518804
10,150,256,2,86.39102430916269
10,150,256,3,86.4118013712861
10,150,512,1,86.20403075005194
10,150,512,2,86.9312279243715
10,150,512,3,85.99626012881778
10,150,1024,1,86.4118013712861
10,150,1024,2,86.49490961977976
10,150,1024,3,86.20403075005194
10,200,32,1,87.20637583892618
10,200,32,2,87.24832214765101
10,200,32,3,86.74496644295301
10,200,64,1,86.99664429530202
10,200,64,2,86.76593959731544
10,200,64,3,87.08053691275168
10,200,128,1,87.56291946308725
10,200,128,2,86.49328859060402
10,200,128,3,87.66778523489933
10,200,256,1,86.78691275167785
10,200,256,2,86.93372483221476
10,200,256,3,87.08053691275168
10,200,512,1,86.38842281879195
10,200,512,2,86.7239932885906
10,200,512,3,87.18540268456375
10,200,1024,1,87.22734899328859
10,200,1024,2,86.91275167785236
10,200,1024,3,87.47902684563758
10,250,32,1,86.78805843743383
10,250,32,2,87.12682616980733
10,250,32,3,86.428117721787
10,250,64,1,86.68219352106712
10,250,64,2,86.72453948761381
10,250,64,3,86.55515562142706
10,250,128,1,86.97861528689393
10,250,128,2,86.91509633707389
10,250,128,3,87.0633072199873
10,250,256,1,86.428117721787
10,250,256,2,86.83040440398052
10,250,256,3,87.63497776836756
10,250,512,1,86.30107982214695
10,250,512,2,86.428117721787
10,250,512,3,86.78805843743383
10,250,1024,1,86.66102053779377
10,250,1024,2,86.34342578869362
10,250,1024,3,85.75058225704002
10,300,32,1,86.4471996579735
10,300,32,2,86.48995297135528
10,300,32,3,86.31893971782813
10,300,64,1,87.00299273193673
10,300,64,2,86.68234288157332
10,300,64,3,86.78922616502778
10,300,128,1,85.84865327062847
10,300,128,2,86.21205643437366
10,300,128,3,86.746472851646
10,300,256,1,86.08379649422831
10,300,256,2,85.69901667379222
10,300,256,3,86.08379649422831
10,300,512,1,86.34031637451902
10,300,512,2,86.7678495083369
10,300,512,3,86.19067977768277
10,300,1024,1,86.34031637451902
10,300,1024,2,86.0624198375374
10,300,1024,3,85.97691321077383
