seq_num,gap,d_model,n_head,num_layer,dropout,ACC,train_size,val_size
100,1,64,1,1,0.3,61.73218673218673,55850,5383
100,1,64,1,4,0.3,76.84275184275184,55850,5383
100,1,64,1,8,0.3,79.36117936117937,55850,5383
100,1,64,4,1,0.3,65.41769041769042,55850,5383
100,1,64,4,4,0.3,79.36117936117937,55850,5383
100,1,64,4,8,0.3,79.66830466830467,55850,5383
100,1,64,8,1,0.3,74.87714987714988,55850,5383
100,1,64,8,4,0.3,80.95823095823096,55850,5383
100,1,64,8,8,0.3,83.10810810810811,55850,5383
100,1,128,1,1,0.3,66.46191646191646,55850,5383
100,1,128,1,4,0.3,78.80835380835381,55850,5383
100,1,128,1,8,0.3,77.45700245700246,55850,5383
100,1,128,4,1,0.3,77.70270270270271,55850,5383
100,1,128,4,4,0.3,80.65110565110565,55850,5383
100,1,128,4,8,0.3,81.01965601965603,55850,5383
100,1,128,8,1,0.3,78.56265356265357,55850,5383
100,1,128,8,4,0.3,80.0982800982801,55850,5383
100,1,128,8,8,0.3,81.57248157248158,55850,5383
100,1,256,1,1,0.3,75.12285012285012,55850,5383
100,1,256,1,4,0.3,78.80835380835381,55850,5383
100,1,256,1,8,0.3,81.69533169533169,55850,5383
100,1,256,4,1,0.3,77.33415233415234,55850,5383
100,1,256,4,4,0.3,78.37837837837837,55850,5383
100,1,256,4,8,0.3,79.05405405405405,55850,5383
100,1,256,8,1,0.3,78.68550368550369,55850,5383
100,1,256,8,4,0.3,82.06388206388206,55850,5383
100,1,256,8,8,0.3,79.91400491400492,55850,5383
100,1,512,1,1,0.3,67.69041769041769,55850,5383
100,1,512,1,4,0.3,77.64127764127764,55850,5383
100,1,512,1,8,0.3,76.5970515970516,55850,5383
100,1,512,4,1,0.3,77.21130221130221,55850,5383
100,1,512,4,4,0.3,77.21130221130221,55850,5383
100,1,512,4,8,0.3,81.57248157248158,55850,5383
100,1,512,8,1,0.3,75.92137592137593,55850,5383
100,1,512,8,4,0.3,80.15970515970515,55850,5383
100,1,512,8,8,0.3,74.75429975429975,55850,5383
200,1,64,1,1,0.3,71.31944444444444,53750,4963
200,1,64,1,4,0.3,77.08333333333333,53750,4963
200,1,64,1,8,0.3,84.44444444444444,53750,4963
200,1,64,4,1,0.3,79.65277777777777,53750,4963
200,1,64,4,4,0.3,87.01388888888889,53750,4963
200,1,64,4,8,0.3,86.18055555555556,53750,4963
200,1,64,8,1,0.3,78.54166666666667,53750,4963
200,1,64,8,4,0.3,83.54166666666667,53750,4963
200,1,64,8,8,0.3,86.66666666666667,53750,4963
200,1,128,1,1,0.3,75.69444444444444,53750,4963
200,1,128,1,4,0.3,82.63888888888889,53750,4963
200,1,128,1,8,0.3,87.84722222222223,53750,4963
200,1,128,4,1,0.3,75.34722222222223,53750,4963
200,1,128,4,4,0.3,86.25,53750,4963
200,1,128,4,8,0.3,85.34722222222223,53750,4963
200,1,128,8,1,0.3,77.36111111111111,53750,4963
200,1,128,8,4,0.3,86.38888888888889,53750,4963
200,1,128,8,8,0.3,88.05555555555556,53750,4963
200,1,256,1,1,0.3,78.05555555555556,53750,4963
200,1,256,1,4,0.3,89.23611111111111,53750,4963
200,1,256,1,8,0.3,87.98611111111111,53750,4963
200,1,256,4,1,0.3,79.72222222222223,53750,4963
200,1,256,4,4,0.3,86.25,53750,4963
200,1,256,4,8,0.3,87.56944444444444,53750,4963
200,1,256,8,1,0.3,79.375,53750,4963
200,1,256,8,4,0.3,85.625,53750,4963
200,1,256,8,8,0.3,86.66666666666667,53750,4963
200,1,512,1,1,0.3,77.01388888888889,53750,4963
200,1,512,1,4,0.3,84.02777777777777,53750,4963
200,1,512,1,8,0.3,84.44444444444444,53750,4963
200,1,512,4,1,0.3,76.73611111111111,53750,4963
200,1,512,4,4,0.3,83.61111111111111,53750,4963
200,1,512,4,8,0.3,85.83333333333333,53750,4963
200,1,512,8,1,0.3,77.5,53750,4963
200,1,512,8,4,0.3,83.81944444444444,53750,4963
200,1,512,8,8,0.3,85.625,53750,4963
300,1,64,1,1,0.3,80.04807692307692,51650,4543
300,1,64,1,4,0.3,85.8173076923077,51650,4543
300,1,64,1,8,0.3,87.09935897435898,51650,4543
300,1,64,4,1,0.3,80.20833333333333,51650,4543
300,1,64,4,4,0.3,85.01602564102564,51650,4543
300,1,64,4,8,0.3,86.21794871794872,51650,4543
300,1,64,8,1,0.3,83.97435897435898,51650,4543
300,1,64,8,4,0.3,87.09935897435898,51650,4543
300,1,64,8,8,0.3,86.93910256410257,51650,4543
300,1,128,1,1,0.3,83.81410256410257,51650,4543
300,1,128,1,4,0.3,86.37820512820512,51650,4543
300,1,128,1,8,0.3,89.34294871794872,51650,4543
300,1,128,4,1,0.3,83.57371794871794,51650,4543
300,1,128,4,4,0.3,86.69871794871794,51650,4543
300,1,128,4,8,0.3,87.09935897435898,51650,4543
300,1,128,8,1,0.3,85.65705128205128,51650,4543
300,1,128,8,4,0.3,86.77884615384616,51650,4543
300,1,128,8,8,0.3,87.5,51650,4543
300,1,256,1,1,0.3,81.41025641025641,51650,4543
300,1,256,1,4,0.3,86.37820512820512,51650,4543
300,1,256,1,8,0.3,88.70192307692308,51650,4543
300,1,256,4,1,0.3,84.4551282051282,51650,4543
300,1,256,4,4,0.3,85.25641025641026,51650,4543
300,1,256,4,8,0.3,87.4198717948718,51650,4543
300,1,256,8,1,0.3,82.61217948717949,51650,4543
300,1,256,8,4,0.3,87.98076923076923,51650,4543
300,1,256,8,8,0.3,86.93910256410257,51650,4543
300,1,512,1,1,0.3,82.05128205128206,51650,4543
300,1,512,1,4,0.3,84.2948717948718,51650,4543
300,1,512,1,8,0.3,87.25961538461539,51650,4543
300,1,512,4,1,0.3,78.52564102564102,51650,4543
300,1,512,4,4,0.3,83.57371794871794,51650,4543
300,1,512,4,8,0.3,84.85576923076923,51650,4543
300,1,512,8,1,0.3,80.52884615384616,51650,4543
300,1,512,8,4,0.3,82.7724358974359,51650,4543
300,1,512,8,8,0.3,87.17948717948718,51650,4543
