gap,seq_num,hidden_size,num_layer,ACC,train_size,val_size
3,30,32,1,87.74856218656271,275927,165703
3,30,32,2,89.02011430088773,275927,165703
3,30,32,3,88.63629505802551,275927,165703
3,30,64,1,89.04727132278836,275927,165703
3,30,64,2,88.3291189658606,275927,165703
3,30,64,3,89.06960042968444,275927,165703
3,30,128,1,89.00744102400077,275927,165703
3,30,128,2,89.14986451663519,275927,165703
3,30,128,3,88.77932204003548,275927,165703
3,30,256,1,89.1752110704091,275927,165703
3,30,256,2,89.26271702986669,275927,165703
3,30,256,3,89.34901601057314,275927,165703
5,30,32,1,88.44679939409667,165649,165703
5,30,32,2,87.90305546670851,165649,165703
5,30,32,3,87.97547419177685,165649,165703
5,30,64,1,88.0599627043566,165649,165703
5,30,64,2,88.2874781989463,165649,165703
5,30,64,3,88.45705871348135,165649,165703
5,30,128,1,88.15350355756986,165649,165703
5,30,128,2,88.19574781385974,165649,165703
5,30,128,3,89.01649336463431,165649,165703
5,30,256,1,88.84811982885041,165649,165703
5,30,256,2,88.74794059250587,165649,165703
5,30,256,3,88.79923718942928,165649,165703
10,30,32,1,87.50776992571046,82948,165703
10,30,32,2,87.30379051676795,82948,165703
10,30,32,3,87.39733136998123,82948,165703
10,30,64,1,86.98454463709166,82948,165703
10,30,64,2,86.93566199767054,82948,165703
10,30,64,3,87.60975963018171,82948,165703
10,30,128,1,86.54822181855488,82948,165703
10,30,128,2,87.22412991919278,82948,165703
10,30,128,3,87.28025443112074,82948,165703
10,30,256,1,87.26939162236049,82948,165703
10,30,256,2,86.9423003808018,82948,165703
10,30,256,3,87.50656294695932,82948,165703
15,30,32,1,86.32553423896972,55380,165703
15,30,32,2,85.86989976041471,55380,165703
15,30,32,3,86.18069678883303,55380,165703
15,30,64,1,86.44924956096148,55380,165703
15,30,64,2,86.49209730662692,55380,165703
15,30,64,3,86.27966904642643,55380,165703
15,30,128,1,86.8095327181765,55380,165703
15,30,128,2,86.60676028798513,55380,165703
15,30,128,3,86.26759925891504,55380,165703
15,30,256,1,86.25492598202808,55380,165703
15,30,256,2,86.66469526803981,55380,165703
15,30,256,3,87.15955655600683,55380,165703
3,50,32,1,90.64685795270589,272577,163699
3,50,32,2,90.74337656308224,272577,163699
3,50,32,3,90.77330954984453,272577,163699
3,50,64,1,89.00115455806083,272577,163699
3,50,64,2,90.87654781031038,272577,163699
3,50,64,3,90.56316776522765,272577,163699
3,50,128,1,90.76109200422727,272577,163699
3,50,128,2,91.21619557847023,272577,163699
3,50,128,3,90.99566888007868,272577,163699
3,50,256,1,90.36524352622801,272577,163699
3,50,256,2,91.07447204931002,272577,163699
3,50,256,3,88.84538085144075,272577,163699
5,50,32,1,90.75987024966554,163645,163699
5,50,32,2,90.673125675783,163645,163699
5,50,32,3,90.525904251095,163645,163699
5,50,64,1,90.88571096952333,163645,163699
5,50,64,2,90.94802045217136,163645,163699
5,50,64,3,90.98100782533797,163645,163699
