gap,seq_num,hidden_size,num_layer,ACC
5,30,32,1,87.1987951807229
5,30,32,2,86.6543095458758
5,30,32,3,87.17562557924003
5,30,64,1,86.80491195551437
5,30,64,2,87.05977757182576
5,30,64,3,86.6543095458758
5,30,128,1,87.04819277108433
5,30,128,2,86.79332715477294
5,30,128,3,87.04819277108433
5,30,256,1,86.44578313253012
5,30,256,2,86.6890639481001
5,30,256,3,86.50370713623725
5,30,512,1,86.77015755329009
5,30,512,2,86.81649675625579
5,30,512,3,86.32993512511585
5,30,1024,1,86.6890639481001
5,30,1024,2,86.36468952734013
5,30,1024,3,86.63113994439296
5,50,32,1,89.68568102444704
5,50,32,2,88.83585564610011
5,50,32,3,89.37136204889406
5,50,64,1,89.45285215366705
5,50,64,2,88.88242142025611
5,50,64,3,89.42956926658906
5,50,128,1,89.20838183934808
5,50,128,2,89.68568102444704
5,50,128,3,89.0221187427241
5,50,256,1,89.17345750873108
5,50,256,2,89.11525029103609
5,50,256,3,88.9871944121071
5,50,512,1,89.39464493597207
5,50,512,2,88.67287543655414
5,50,512,3,89.19674039580909
5,50,1024,1,89.0454016298021
5,50,1024,2,89.11525029103609
5,50,1024,3,88.70779976717112
5,80,32,1,92.67034126891052
5,80,32,2,92.57652163715258
5,80,32,3,92.55306672921309
5,80,64,1,92.75243344669872
5,80,64,2,92.63515890700128
5,80,64,3,91.7438724053008
5,80,128,1,92.65861381494078
5,80,128,2,92.22469801806028
5,80,128,3,92.62343145303154
5,80,256,1,92.82279817051717
5,80,256,2,92.85798053242641
5,80,256,3,92.57652163715258
5,80,512,1,92.62343145303154
5,80,512,2,92.55306672921309
5,80,512,3,92.85798053242641
5,80,1024,1,92.82279817051717
5,80,1024,2,91.7673273132403
5,80,1024,3,91.57968804972441
5,100,32,1,92.94048320565705
5,100,32,2,93.32940483205657
5,100,32,3,93.69475545079553
5,100,64,1,93.14083677077195
5,100,64,2,93.56511490866235
5,100,64,3,92.39835002946376
5,100,128,1,93.7183264584561
5,100,128,2,93.32940483205657
5,100,128,3,93.42368886269888
5,100,256,1,93.21154979375368
5,100,256,2,93.44725987035946
5,100,256,3,93.75368296994696
5,100,512,1,93.45904537418974
5,100,512,2,93.07012374779022
5,100,512,3,93.38833235120802
5,100,1024,1,93.49440188568062
5,100,1024,2,93.30583382439599
5,100,1024,3,93.30583382439599
5,150,32,1,94.29594272076372
5,150,32,2,94.36754176610978
5,150,32,3,94.35560859188544
5,150,64,1,94.20047732696898
5,150,64,2,94.30787589498807
5,150,64,3,94.46300715990454
5,150,128,1,94.27207637231504
5,150,128,2,94.11694510739856
5,150,128,3,93.9856801909308
5,150,256,1,93.36515513126491
5,150,256,2,94.0453460620525
5,150,256,3,93.97374701670644
5,150,512,1,93.99761336515513
5,150,512,2,94.12887828162292
5,150,512,3,94.0692124105012
5,150,1024,1,93.93794749403341
5,150,1024,2,94.05727923627686
5,150,1024,3,94.08114558472553
5,200,32,1,94.92447129909365
5,200,32,2,94.90030211480362
5,200,32,3,94.91238670694864
5,200,64,1,94.4773413897281
5,200,64,2,94.73111782477342
5,200,64,3,94.53776435045317
5,200,128,1,94.42900302114803
5,200,128,2,94.11480362537765
5,200,128,3,94.70694864048339
5,200,256,1,94.70694864048339
5,200,256,2,94.48942598187311
5,200,256,3,94.41691842900302
5,200,512,1,94.67069486404834
