seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
150,1,32,1,71.55339805825243,18390,1030
150,1,32,2,72.33009708737865,18390,1030
150,1,32,3,75.04854368932038,18390,1030
150,1,64,1,71.74757281553399,18390,1030
150,1,64,2,73.10679611650485,18390,1030
150,1,64,3,74.75728155339806,18390,1030
150,1,128,1,72.62135922330097,18390,1030
150,1,128,2,73.30097087378641,18390,1030
150,1,128,3,75.53398058252426,18390,1030
150,1,256,1,73.59223300970874,18390,1030
150,1,256,2,73.68932038834951,18390,1030
150,1,256,3,73.68932038834951,18390,1030
200,1,32,1,78.21989528795811,18390,955
200,1,32,2,79.79057591623037,18390,955
200,1,32,3,81.04712041884817,18390,955
200,1,64,1,78.21989528795811,18390,955
200,1,64,2,77.27748691099477,18390,955
200,1,64,3,79.3717277486911,18390,955
200,1,128,1,77.59162303664921,18390,955
200,1,128,2,79.68586387434554,18390,955
200,1,128,3,79.79057591623037,18390,955
200,1,256,1,78.1151832460733,18390,955
200,1,256,2,78.84816753926701,18390,955
200,1,256,3,79.26701570680628,18390,955
