seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
30,1,32,1,51.51020408163265,18390,1225
30,1,32,2,53.87755102040816,18390,1225
30,1,32,3,53.63265306122449,18390,1225
30,1,64,1,53.142857142857146,18390,1225
30,1,64,2,52.48979591836735,18390,1225
30,1,64,3,52.48979591836735,18390,1225
30,1,128,1,52.734693877551024,18390,1225
30,1,128,2,53.224489795918366,18390,1225
30,1,128,3,53.795918367346935,18390,1225
30,1,256,1,52.48979591836735,18390,1225
30,1,256,2,52.97959183673469,18390,1225
30,1,256,3,53.55102040816327,18390,1225
50,1,32,1,58.17267393126572,18390,1193
50,1,32,2,58.591785414920366,18390,1193
50,1,32,3,60.85498742665549,18390,1193
50,1,64,1,60.43587594300084,18390,1193
50,1,64,2,59.09471919530595,18390,1193
50,1,64,3,62.44761106454317,18390,1193
50,1,128,1,58.591785414920366,18390,1193
50,1,128,2,59.68147527242247,18390,1193
50,1,128,3,60.016764459346184,18390,1193
50,1,256,1,59.262363788767814,18390,1193
50,1,256,2,60.100586756077114,18390,1193
50,1,256,3,59.59765297569153,18390,1193
