seq_num,d_model,n_head,num_layer,dropout,learning_rate,weight_decay,ACC
100,64,1,1,0.3,0.0001,0.0001,82.79769645179267
100,64,1,4,0.3,0.0001,0.0001,90.50715214564369
100,64,1,8,0.3,0.0001,0.0001,90.39569013561211
100,64,4,1,0.3,0.0001,0.0001,89.07672301690508
100,64,4,4,0.3,0.0001,0.0001,89.7083410737507
100,64,4,8,0.3,0.0001,0.0001,90.6371911573472
100,64,8,1,0.3,0.0001,0.0001,90.22849712056474
100,64,8,4,0.3,0.0001,0.0001,89.41110904699981
100,64,8,8,0.3,0.0001,0.0001,89.74549507709456
100,128,1,1,0.3,0.0001,0.0001,80.45699424112948
100,128,1,4,0.3,0.0001,0.0001,89.37395504365595
100,128,1,8,0.3,0.0001,0.0001,90.46999814229983
100,128,4,1,0.3,0.0001,0.0001,89.80122608211035
100,128,4,4,0.3,0.0001,0.0001,89.59687906371911
100,128,4,8,0.3,0.0001,0.0001,90.17276611554895
100,128,8,1,0.3,0.0001,0.0001,90.97157718744195
100,128,8,4,0.3,0.0001,0.0001,89.8383800854542
100,128,8,8,0.3,0.0001,0.0001,90.65576815901913
100,256,1,1,0.3,0.0001,0.0001,85.06409065576815
100,256,1,4,0.3,0.0001,0.0001,89.74549507709456
100,256,1,8,0.3,0.0001,0.0001,90.48857514397176
100,256,4,1,0.3,0.0001,0.0001,90.91584618242615
100,256,4,4,0.3,0.0001,0.0001,89.07672301690508
100,256,4,8,0.3,0.0001,0.0001,90.41426713728404
100,256,8,1,0.3,0.0001,0.0001,89.68976407207877
100,256,8,4,0.3,0.0001,0.0001,89.87553408879806
100,256,8,8,0.3,0.0001,0.0001,90.20992011889281
100,512,1,1,0.3,0.0001,0.0001,87.34906186141556
100,512,1,4,0.3,0.0001,0.0001,90.30280512725246
100,512,1,8,0.3,0.0001,0.0001,90.39569013561211
100,512,4,1,0.3,0.0001,0.0001,90.33995913059633
100,512,4,4,0.3,0.0001,0.0001,89.57830206204719
100,512,4,8,0.3,0.0001,0.0001,90.30280512725246
100,512,8,1,0.3,0.0001,0.0001,90.61861415567527
100,512,8,4,0.3,0.0001,0.0001,89.35537804198403
100,512,8,8,0.3,0.0001,0.0001,90.09845810886122
200,64,1,1,0.3,0.0001,0.0001,78.17852105581302
200,64,1,4,0.3,0.0001,0.0001,85.53294378400162
200,64,1,8,0.3,0.0001,0.0001,86.17771509167842
200,64,4,1,0.3,0.0001,0.0001,84.444892202297
200,64,4,4,0.3,0.0001,0.0001,86.47995164215192
200,64,4,8,0.3,0.0001,0.0001,86.76203908926053
200,64,8,1,0.3,0.0001,0.0001,87.38666129357243
200,64,8,4,0.3,0.0001,0.0001,87.82994156760024
200,64,8,8,0.3,0.0001,0.0001,88.09187991134395
200,128,1,1,0.3,0.0001,0.0001,78.98448519040903
200,128,1,4,0.3,0.0001,0.0001,86.56054805561152
200,128,1,8,0.3,0.0001,0.0001,88.25307273826314
200,128,4,1,0.3,0.0001,0.0001,87.36651219020753
200,128,4,4,0.3,0.0001,0.0001,87.48740681039693
200,128,4,8,0.3,0.0001,0.0001,89.17993149304856
200,128,8,1,0.3,0.0001,0.0001,87.78964336087044
200,128,8,4,0.3,0.0001,0.0001,87.34636308684263
200,128,8,8,0.3,0.0001,0.0001,86.09711867821882
200,256,1,1,0.3,0.0001,0.0001,80.49566794277655
200,256,1,4,0.3,0.0001,0.0001,85.85532943784001
200,256,1,8,0.3,0.0001,0.0001,87.34636308684263
200,256,4,1,0.3,0.0001,0.0001,88.55530928873665
200,256,4,4,0.3,0.0001,0.0001,86.58069715897642
200,256,4,8,0.3,0.0001,0.0001,87.02397743300423
200,256,8,1,0.3,0.0001,0.0001,87.26576667338304
200,256,8,4,0.3,0.0001,0.0001,86.68144267580092
200,256,8,8,0.3,0.0001,0.0001,86.60084626234132
