filename,accuracy
a1_4.csv,85.22954091816366
a6_1.csv,90.59766763848397
a2_2.csv,93.67147510469987
a5_7.csv,90.754039497307
a2_7.csv,88.36789900811543
a5_6.csv,90.07633587786259
a1_5.csv,92.47038917089678
a1_2.csv,92.09121785541
a6_8.csv,90.93725793958171
a4_1.csv,87.3634945397816
a4_3.csv,87.80727630285152
a1_6.csv,93.47593582887701
a4_8.csv,92.84232365145229
a4_5.csv,89.0
a8_6.csv,93.55149181905679
a5_1.csv,89.5800933125972
a8_1.csv,89.39606741573034
a4_2.csv,93.06037473976406
a4_6.csv,89.4478527607362
a7_2.csv,90.67385444743935
a1_9.csv,91.18457300275482
a3_3.csv,88.85793871866295
a6_7.csv,89.14798206278027
a7_6.csv,86.45161290322581
a1_3.csv,86.3425925925926
a4_7.csv,90.041928721174
a2_5.csv,88.82042253521126
a7_3.csv,90.73170731707317
a3_6.csv,91.02564102564102
a1_1.csv,91.6776750330251
a2_1.csv,94.075699396599
a6_4.csv,90.5458089668616
a7_9.csv,87.63978811065333
a6_6.csv,91.19638826185101
a1_7.csv,85.07109004739335
a2_4.csv,90.65420560747664
a1_8.csv,92.16043755697356
a3_4.csv,79.87371744277822
a2_6.csv,89.37853107344634
a7_7.csv,91.35234590616376
a5_4.csv,91.90231362467867
a3_8.csv,90.45323047251688
a2_9.csv,90.95273264401771
a7_5.csv,87.04918032786885
a6_9.csv,88.84758364312268
a2_3.csv,83.00884955752213
a7_1.csv,87.81656399726215
a8_7.csv,89.73322554567503
a8_4.csv,91.01265822784809
a4_4.csv,86.71586715867159
a3_9.csv,90.80421885299934
a6_2.csv,93.23017408123792
a5_9.csv,76.0132645541636
a8_3.csv,89.59183673469387
a5_5.csv,92.09083790133124
a8_8.csv,89.6124031007752
a5_2.csv,93.0659415363698
a7_4.csv,87.92007266121708
a7_8.csv,90.8411214953271
a3_1.csv,90.30716723549487
a3_2.csv,92.65605875153
a3_7.csv,88.57142857142857
a4_9.csv,90.15524422567209
a5_8.csv,92.69311064718163
a2_8.csv,90.68673565380998
a8_9.csv,87.55129958960327
a8_5.csv,88.22429906542057
a6_5.csv,91.80952380952381
a5_3.csv,93.08797127468583
a6_3.csv,91.06933019976499
a3_5.csv,85.56818181818183
g2_8.csv,83.46613545816733
g2_4.csv,91.5863277826468
g2_1.csv,61.394769613947695
g1_6.csv,89.24418604651163
g2_7.csv,84.42553191489361
g1_7.csv,87.02702702702703
g2_3.csv,88.71449925261584
g1_4.csv,94.05857740585773
g1_9.csv,90.26898734177216
g2_2.csv,84.95934959349594
g2_6.csv,81.95242001640689
g1_2.csv,87.71929824561403
g1_1.csv,94.84670580560991
g2_9.csv,50.86580086580087
g1_8.csv,93.56060606060606
g1_3.csv,94.67811158798283
g1_5.csv,81.64116828929068
g2_5.csv,84.0751730959446
e2_7.csv,86.4
e1_1.csv,82.30822391154112
e4_9.csv,90.59796916133885
e2_9.csv,91.72089660159074
e2_1.csv,91.80424528301887
e4_1.csv,92.95892707460185
e2_8.csv,91.15479115479116
e3_2.csv,92.30394544568924
e5_5.csv,92.0
e2_2.csv,90.9090909090909
e1_6.csv,86.73469387755102
e2_3.csv,92.23093371347113
e4_5.csv,84.38395415472779
e1_7.csv,84.86590038314176
e2_4.csv,88.68159203980099
e3_3.csv,91.61392405063292
e5_9.csv,89.19506889050037
e3_1.csv,95.24073049252905
e5_1.csv,94.34697855750487
e4_2.csv,93.25626204238921
e5_3.csv,87.67605633802818
e5_7.csv,93.96299902629016
e4_4.csv,94.3796394485684
e3_8.csv,86.22611464968153
e1_2.csv,91.28787878787878
e4_6.csv,91.03068450039339
e3_5.csv,78.95299145299145
e3_9.csv,93.31352154531946
e3_4.csv,88.08864265927978
e4_7.csv,90.09687836383208
e4_8.csv,90.2621722846442
e3_7.csv,87.21058434399119
e1_9.csv,65.41450777202073
e2_5.csv,86.54545454545455
e5_4.csv,94.65648854961832
e5_6.csv,91.5068493150685
e1_4.csv,80.02894356005788
e1_3.csv,85.58951965065502
e1_8.csv,93.5378590078329
e3_6.csv,90.63992359121299
e2_6.csv,89.75297346752058
e5_2.csv,92.54698639014906
e4_3.csv,87.41496598639455
e5_8.csv,90.99378881987577
e1_5.csv,79.52302631578947
d4_7.csv,91.43672692673644
d8_8.csv,83.04568527918782
d8_5.csv,87.90593505039193
d7_1.csv,93.45981028457314
d5_7.csv,82.70042194092827
d2_1.csv,87.70083102493075
d4_4.csv,81.56748911465893
d6_8.csv,92.60642270351008
d8_6.csv,91.57733537519142
d3_6.csv,86.02654176424667
d5_1.csv,93.53120243531203
d3_2.csv,92.48901318417899
d3_4.csv,89.67551622418878
d5_9.csv,82.57153474544779
d5_5.csv,93.20843091334895
d4_3.csv,84.87762237762237
d4_9.csv,92.56256609094113
d8_9.csv,89.61190545666764
d3_1.csv,83.109243697479
d6_4.csv,80.45222465353757
d8_7.csv,88.27726809378186
d6_2.csv,84.96432212028542
d3_9.csv,90.01085776330075
d1_8.csv,87.85488958990535
d6_3.csv,94.82636428065202
d7_5.csv,92.17877094972067
d6_9.csv,78.83280757097792
d4_6.csv,88.69801084990958
d2_8.csv,90.94736842105263
d2_3.csv,91.43911439114392
d7_6.csv,96.28647214854111
d5_2.csv,92.63224181360201
d5_3.csv,91.26290706910247
d8_1.csv,92.74924471299094
d1_3.csv,74.55242966751918
d1_7.csv,90.29385574354409
d5_8.csv,86.1760660247593
d7_7.csv,90.4553415061296
d7_3.csv,90.67734887108521
d4_5.csv,86.91358024691358
d1_6.csv,88.79928315412187
d6_5.csv,86.9364161849711
d1_4.csv,93.0890052356021
d3_8.csv,90.77625570776256
d2_2.csv,92.83683911313247
d7_4.csv,93.65482233502537
d5_6.csv,73.98971344599559
d7_9.csv,89.4756838905775
d7_8.csv,91.15426105717368
d2_6.csv,88.35403726708074
d2_7.csv,88.80382775119617
d1_2.csv,93.0376482723053
d1_9.csv,90.58626465661641
d3_5.csv,84.15937803692906
d3_7.csv,88.27586206896552
d4_2.csv,87.3589164785553
d4_1.csv,90.18366054464852
d8_4.csv,92.79093717816684
d3_3.csv,90.52488070892979
d1_5.csv,88.74045801526718
d6_1.csv,92.09549071618038
d8_3.csv,91.22280570142536
d1_1.csv,94.67564259485924
d2_4.csv,90.80675422138836
d6_6.csv,90.86471408647141
d4_8.csv,90.53398058252428
d5_4.csv,79.71768202080239
d6_7.csv,87.04496788008565
d2_5.csv,86.39455782312925
d7_2.csv,71.47058823529412
d2_9.csv,91.85158239359768
c5_6.csv,88.72549019607843
c10_6.csv,90.68627450980392
c9_6.csv,88.60648553900089
c6_3.csv,88.79837067209776
c5_3.csv,89.37558247903075
c3_3.csv,77.4062816616008
c9_2.csv,92.3841059602649
c4_8.csv,89.69276511397423
c11_5.csv,90.6093906093906
c1_6.csv,92.44917715392062
c2_8.csv,89.55866523143165
c2_3.csv,90.44995408631772
c13_5.csv,90.19097222222221
c10_2.csv,94.44749862561848
c9_7.csv,88.4133611691023
c10_5.csv,92.03152364273205
c2_7.csv,86.44808743169399
c6_2.csv,91.68428470754051
c11_7.csv,87.68267223382045
c5_7.csv,88.18818818818819
c10_9.csv,90.28799019607843
c12_5.csv,89.63774220724515
c3_4.csv,87.65432098765432
c3_8.csv,91.66666666666666
c13_2.csv,94.41811479726172
c1_4.csv,91.0427807486631
c4_7.csv,88.80382775119617
c6_5.csv,84.84848484848484
c12_8.csv,90.53097345132744
c7_9.csv,90.86069210292813
c4_3.csv,92.04545454545455
c4_6.csv,89.73305954825463
c3_9.csv,90.78901633646159
c9_8.csv,91.90751445086705
c5_4.csv,93.44569288389512
c13_6.csv,88.13725490196079
c8_7.csv,87.73307163886163
c4_9.csv,90.08509064002959
c7_4.csv,92.2671353251318
c11_3.csv,90.71332436069987
c6_4.csv,93.67231638418079
c5_5.csv,88.03222094361335
c10_7.csv,89.35516888433982
c11_9.csv,90.79292267365662
c13_7.csv,90.88960342979635
c12_2.csv,89.8355754857997
c6_1.csv,90.9090909090909
c5_1.csv,87.86217697729053
c9_3.csv,90.35250463821892
c13_4.csv,90.0874635568513
c2_9.csv,88.0928355196771
c10_3.csv,88.25
c8_9.csv,90.78581363004173
c5_9.csv,91.05754276827372
c6_8.csv,93.00937766410912
c2_1.csv,86.63697104677061
c7_3.csv,88.51282051282051
c11_1.csv,89.52843273231623
c3_7.csv,89.52380952380953
c8_3.csv,89.42937324602433
c1_3.csv,91.20879120879121
c7_8.csv,93.34975369458128
c13_9.csv,91.49115417017691
c2_2.csv,92.74136715997182
c8_2.csv,92.28253760627861
c12_4.csv,81.1407543698252
c4_5.csv,84.21052631578947
c1_5.csv,76.34408602150538
c2_4.csv,63.76582278481012
c2_5.csv,94.0566037735849
c12_7.csv,90.4602510460251
c10_8.csv,93.04812834224599
c12_3.csv,88.66425992779784
c3_5.csv,83.0703012912482
c7_6.csv,90.6611570247934
c13_3.csv,88.84892086330936
c9_9.csv,75.26315789473685
c10_1.csv,90.64449064449065
c3_6.csv,89.43427620632279
c7_2.csv,89.8936170212766
c7_1.csv,90.50464807436919
c11_4.csv,96.19047619047619
c12_1.csv,94.07846039970393
c7_5.csv,82.79411764705881
c5_8.csv,90.03466204506066
c6_6.csv,91.15323854660348
c2_6.csv,87.72241992882563
c3_1.csv,87.13355048859935
c10_4.csv,93.15217391304348
c12_6.csv,86.1
c12_9.csv,89.84771573604061
c4_4.csv,83.50877192982456
c4_1.csv,89.65044551062371
c8_8.csv,91.85475956820413
c1_1.csv,89.88995873452545
c1_9.csv,86.31613324624429
c6_9.csv,86.76521141285664
c13_8.csv,93.03557910673732
c8_4.csv,91.67523124357658
c11_8.csv,93.92123287671232
c9_4.csv,91.67733674775928
c3_2.csv,92.44673983214977
c8_6.csv,84.0909090909091
c7_7.csv,90.34334763948499
c4_2.csv,95.42699724517907
c8_1.csv,91.76610978520287
c5_2.csv,91.93857965451056
c1_8.csv,88.05166846071045
c9_1.csv,90.87241553202219
c6_7.csv,88.5518590998043
c1_7.csv,87.10433763188745
c8_5.csv,90.7258064516129
c11_6.csv,92.07003089598352
c11_2.csv,93.84339509862522
c1_2.csv,93.3683519369665
c9_5.csv,93.93627954779033
b13_6.csv,89.72809667673715
b4_9.csv,89.29992044550518
b11_2.csv,93.02325581395348
b1_3.csv,91.94232400339271
b3_7.csv,91.22302158273381
b10_9.csv,76.34004779788324
b12_3.csv,91.26378286683631
b11_1.csv,90.92841956059532
b14_8.csv,86.14285714285714
b8_4.csv,90.60402684563759
b10_8.csv,91.7766497461929
b2_3.csv,91.74937965260546
b4_7.csv,89.55223880597015
b9_1.csv,90.40404040404042
b12_4.csv,81.95876288659794
b12_1.csv,90.01825928180158
b5_9.csv,87.51458576429405
b11_6.csv,88.68868868868869
b14_9.csv,90.19469026548673
