seq_num,gap,d_model,n_head,num_layer,dropout,ACC,train_size,val_size
100,1,64,1,1,0.3,36.02875112309074,64139,6242
100,1,64,1,4,0.3,62.62353998203055,64139,6242
100,1,64,1,8,0.3,61.455525606469,64139,6242
100,1,64,4,1,0.3,53.36927223719677,64139,6242
100,1,64,4,4,0.3,64.77987421383648,64139,6242
100,1,64,4,8,0.3,64.51033243486074,64139,6242
100,1,64,8,1,0.3,56.15453728661276,64139,6242
100,1,64,8,4,0.3,62.62353998203055,64139,6242
100,1,64,8,8,0.3,64.77987421383648,64139,6242
100,1,128,1,1,0.3,46.00179694519317,64139,6242
100,1,128,1,4,0.3,66.57681940700809,64139,6242
100,1,128,1,8,0.3,66.4869721473495,64139,6242
100,1,128,4,1,0.3,40.700808625336926,64139,6242
100,1,128,4,4,0.3,66.39712488769092,64139,6242
100,1,128,4,8,0.3,65.31895777178796,64139,6242
100,1,128,8,1,0.3,57.322551662174305,64139,6242
100,1,128,8,4,0.3,67.65498652291105,64139,6242
100,1,128,8,8,0.3,69.2722371967655,64139,6242
100,1,256,1,1,0.3,52.20125786163522,64139,6242
100,1,256,1,4,0.3,65.22911051212938,64139,6242
100,1,256,1,8,0.3,67.29559748427673,64139,6242
100,1,256,4,1,0.3,55.61545372866128,64139,6242
100,1,256,4,4,0.3,66.30727762803234,64139,6242
100,1,256,4,8,0.3,69.00269541778975,64139,6242
100,1,256,8,1,0.3,59.65858041329739,64139,6242
100,1,256,8,4,0.3,66.84636118598382,64139,6242
100,1,256,8,8,0.3,69.18238993710692,64139,6242
100,1,512,1,1,0.3,54.62713387241689,64139,6242
100,1,512,1,4,0.3,63.881401617250674,64139,6242
100,1,512,1,8,0.3,68.19407008086253,64139,6242
100,1,512,4,1,0.3,59.478885893980234,64139,6242
100,1,512,4,4,0.3,66.93620844564241,64139,6242
100,1,512,4,8,0.3,67.65498652291105,64139,6242
100,1,512,8,1,0.3,62.264150943396224,64139,6242
100,1,512,8,4,0.3,68.19407008086253,64139,6242
100,1,512,8,8,0.3,68.3737646001797,64139,6242
200,1,64,1,1,0.3,47.225130890052355,62339,5896
200,1,64,1,4,0.3,67.12041884816755,62339,5896
200,1,64,1,8,0.3,74.13612565445027,62339,5896
200,1,64,4,1,0.3,61.57068062827225,62339,5896
200,1,64,4,4,0.3,71.41361256544502,62339,5896
200,1,64,4,8,0.3,73.29842931937172,62339,5896
200,1,64,8,1,0.3,52.87958115183246,62339,5896
200,1,64,8,4,0.3,72.98429319371728,62339,5896
200,1,64,8,8,0.3,73.82198952879581,62339,5896
200,1,128,1,1,0.3,53.29842931937173,62339,5896
200,1,128,1,4,0.3,72.56544502617801,62339,5896
200,1,128,1,8,0.3,74.9738219895288,62339,5896
200,1,128,4,1,0.3,56.33507853403141,62339,5896
200,1,128,4,4,0.3,75.91623036649214,62339,5896
200,1,128,4,8,0.3,74.13612565445027,62339,5896
200,1,128,8,1,0.3,62.82722513089005,62339,5896
200,1,128,8,4,0.3,74.86910994764398,62339,5896
200,1,128,8,8,0.3,73.50785340314137,62339,5896
200,1,256,1,1,0.3,56.12565445026178,62339,5896
200,1,256,1,4,0.3,71.51832460732984,62339,5896
200,1,256,1,8,0.3,75.18324607329843,62339,5896
200,1,256,4,1,0.3,63.246073298429316,62339,5896
200,1,256,4,4,0.3,73.717277486911,62339,5896
200,1,256,4,8,0.3,75.49738219895288,62339,5896
200,1,256,8,1,0.3,66.80628272251309,62339,5896
200,1,256,8,4,0.3,74.13612565445027,62339,5896
200,1,256,8,8,0.3,75.28795811518324,62339,5896
200,1,512,1,1,0.3,63.246073298429316,62339,5896
200,1,512,1,4,0.3,67.43455497382199,62339,5896
200,1,512,1,8,0.3,78.1151832460733,62339,5896
200,1,512,4,1,0.3,62.303664921465966,62339,5896
200,1,512,4,4,0.3,72.87958115183245,62339,5896
200,1,512,4,8,0.3,76.54450261780104,62339,5896
200,1,512,8,1,0.3,66.38743455497382,62339,5896
200,1,512,8,4,0.3,73.92670157068063,62339,5896
200,1,512,8,8,0.3,75.81151832460733,62339,5896
300,1,64,1,1,0.3,56.28891656288916,60585,5556
300,1,64,1,4,0.3,72.10460772104608,60585,5556
300,1,64,1,8,0.3,75.71606475716065,60585,5556
300,1,64,4,1,0.3,56.787048567870485,60585,5556
300,1,64,4,4,0.3,75.46699875466999,60585,5556
300,1,64,4,8,0.3,76.46326276463263,60585,5556
300,1,64,8,1,0.3,58.655043586550434,60585,5556
300,1,64,8,4,0.3,75.21793275217932,60585,5556
300,1,64,8,8,0.3,71.85554171855541,60585,5556
300,1,128,1,1,0.3,54.66998754669987,60585,5556
300,1,128,1,4,0.3,75.34246575342466,60585,5556
300,1,128,1,8,0.3,78.70485678704857,60585,5556
300,1,128,4,1,0.3,56.16438356164384,60585,5556
300,1,128,4,4,0.3,73.22540473225405,60585,5556
300,1,128,4,8,0.3,80.57285180572852,60585,5556
300,1,128,8,1,0.3,63.387297633872976,60585,5556
300,1,128,8,4,0.3,76.71232876712328,60585,5556
300,1,128,8,8,0.3,77.83312577833125,60585,5556
300,1,256,1,1,0.3,59.40224159402241,60585,5556
300,1,256,1,4,0.3,75.34246575342466,60585,5556
300,1,256,1,8,0.3,79.45205479452055,60585,5556
300,1,256,4,1,0.3,59.526774595267746,60585,5556
300,1,256,4,4,0.3,74.47073474470734,60585,5556
300,1,256,4,8,0.3,79.45205479452055,60585,5556
300,1,256,8,1,0.3,55.91531755915317,60585,5556
300,1,256,8,4,0.3,79.57658779576587,60585,5556
300,1,256,8,8,0.3,78.95392278953923,60585,5556
300,1,512,1,1,0.3,60.89663760896637,60585,5556
300,1,512,1,4,0.3,78.4557907845579,60585,5556
300,1,512,1,8,0.3,76.58779576587796,60585,5556
300,1,512,4,1,0.3,58.655043586550434,60585,5556
300,1,512,4,4,0.3,74.22166874221669,60585,5556
300,1,512,4,8,0.3,77.08592777085927,60585,5556
300,1,512,8,1,0.3,61.021170610211705,60585,5556
300,1,512,8,4,0.3,76.21419676214197,60585,5556
300,1,512,8,8,0.3,80.82191780821918,60585,5556
