seq_num,gap,hidden_size,num_layer,ACC,train_size,val_size
350,3,32,1,83.31846565566458,3600,2242
350,3,32,2,83.00624442462087,3600,2242
350,3,32,3,82.20338983050847,3600,2242
350,3,64,1,81.31132917038359,3600,2242
350,3,64,2,83.76449598572702,3600,2242
350,3,64,3,84.87957181088314,3600,2242
350,3,128,1,82.8278322925959,3600,2242
350,3,128,2,84.87957181088314,3600,2242
350,3,128,3,84.12132024977699,3600,2242
350,3,256,1,82.96164139161463,3600,2242
350,3,256,2,84.65655664585192,3600,2242
350,3,256,3,82.78322925958965,3600,2242
350,5,32,1,80.55307760927744,2155,2242
350,5,32,2,82.4264049955397,2155,2242
350,5,32,3,85.32560214094559,2155,2242
350,5,64,1,83.63068688670829,2155,2242
350,5,64,2,83.31846565566458,2155,2242
350,5,64,3,85.77163247100803,2155,2242
350,5,128,1,82.51561106155219,2155,2242
350,5,128,2,83.49687778768956,2155,2242
350,5,128,3,86.17305976806423,2155,2242
350,5,256,1,83.71989295272078,2155,2242
350,5,256,2,84.29973238180196,2155,2242
350,5,256,3,84.38893844781445,2155,2242
350,10,32,1,80.90990187332739,1080,2242
350,10,32,2,83.31846565566458,1080,2242
350,10,32,3,84.7457627118644,1080,2242
350,10,64,1,84.21052631578948,1080,2242
350,10,64,2,83.2292595896521,1080,2242
350,10,64,3,85.10258697591436,1080,2242
350,10,128,1,82.15878679750223,1080,2242
350,10,128,2,84.25512934879572,1080,2242
350,10,128,3,83.31846565566458,1080,2242
350,10,256,1,84.16592328278323,1080,2242
350,10,256,2,83.45227475468332,1080,2242
350,10,256,3,82.47100802854594,1080,2242
400,3,32,1,81.99815837937385,3600,2172
400,3,32,2,81.58379373848987,3600,2172
400,3,32,3,84.94475138121547,3600,2172
400,3,64,1,82.32044198895028,3600,2172
400,3,64,2,83.97790055248619,3600,2172
400,3,64,3,84.39226519337016,3600,2172
400,3,128,1,82.50460405156538,3600,2172
400,3,128,2,83.97790055248619,3600,2172
400,3,128,3,83.37937384898711,3600,2172
400,3,256,1,81.44567219152854,3600,2172
400,3,256,2,82.68876611418048,3600,2172
400,3,256,3,84.02394106813996,3600,2172
400,5,32,1,80.34069981583794,2155,2172
400,5,32,2,82.13627992633518,2155,2172
400,5,32,3,83.14917127071823,2155,2172
400,5,64,1,82.64272559852671,2155,2172
400,5,64,2,83.93186003683242,2155,2172
400,5,64,3,85.2670349907919,2155,2172
400,5,128,1,81.30755064456721,2155,2172
400,5,128,2,83.74769797421732,2155,2172
400,5,128,3,83.74769797421732,2155,2172
400,5,256,1,83.10313075506446,2155,2172
400,5,256,2,83.42541436464089,2155,2172
400,5,256,3,82.91896869244935,2155,2172
400,10,32,1,80.75506445672191,1080,2172
400,10,32,2,80.47882136279927,1080,2172
400,10,32,3,83.37937384898711,1080,2172
400,10,64,1,82.41252302025782,1080,2172
400,10,64,2,84.06998158379373,1080,2172
400,10,64,3,86.51012891344384,1080,2172
400,10,128,1,82.64272559852671,1080,2172
400,10,128,2,83.88581952117863,1080,2172
400,10,128,3,84.85267034990792,1080,2172
400,10,256,1,83.01104972375691,1080,2172
400,10,256,2,83.56353591160222,1080,2172
400,10,256,3,85.8195211786372,1080,2172
