gap,seq_num,hidden_size,num_layer,ACC
3,250,32,1,95.8877073651165
3,250,32,2,95.7449755316857
3,250,32,3,95.80730048321074
3,250,64,1,95.81768797513158
3,250,64,2,95.60416730786987
3,250,64,3,95.69188390631251
3,250,128,1,95.87847403896464
3,250,128,2,95.62494229171155
3,250,128,3,95.90848234895817
3,250,256,1,95.84231017820319
3,250,256,2,95.87731987319566
3,250,256,3,95.7057338955403
3,300,32,1,95.79214888958398
3,300,32,2,95.74366593681576
3,300,32,3,95.78667500781984
3,300,64,1,95.78784798248358
3,300,64,2,95.81091648420394
3,300,64,3,95.76243353143572
3,300,128,1,95.82225523928683
3,300,128,2,95.73506412261496
3,300,128,3,95.76360650609946
3,300,256,1,95.94776352830779
3,300,256,2,95.81912730685018
3,300,256,3,95.91374726305912
5,250,32,1,94.81001461426044
5,250,32,2,94.76001846011846
5,250,32,3,94.95679819501063
5,250,64,1,94.8811629874625
5,250,64,2,95.03435633156424
5,250,64,3,94.98307822475194
5,250,128,1,94.94141476296696
5,250,128,2,95.02922852088301
5,250,128,3,94.91898059123658
5,250,256,1,95.00038458580109
5,250,256,2,95.03243340255878
5,250,256,3,95.00423044381202
5,300,32,1,94.70968750610722
5,300,32,2,94.8777580175497
5,300,32,3,94.73704782192343
5,300,64,1,94.91358700254712
5,300,64,2,94.8894838671852
5,300,64,3,94.96244470936179
5,300,128,1,94.93834157399988
5,300,128,2,94.95723322063489
5,300,128,3,94.79307132573759
5,300,256,1,94.90576976945677
5,300,256,2,94.91488987472884
5,300,256,3,95.02172539363026
10,250,32,1,93.94350861461602
10,250,32,2,93.83974892717607
10,250,32,3,94.04214436687376
10,250,64,1,94.04598731826043
10,250,64,2,93.97040927432268
10,250,64,3,93.989624031256
10,250,128,1,94.09850765387817
10,250,128,2,94.09978863767374
10,250,128,3,93.94094664702492
10,250,256,1,94.02933452891821
10,250,256,2,93.93197976045603
10,250,256,3,94.0408633830782
10,300,32,1,93.72241677840991
10,300,32,2,93.91248877143192
10,300,32,3,93.5375522372515
10,300,64,1,93.71851118951218
10,300,64,2,93.83567885644356
10,300,64,3,93.7510577636598
10,300,128,1,93.77839688594379
10,300,128,2,93.81745277492091
10,300,128,3,93.78620806373921
10,300,256,1,93.65862549308059
10,300,256,2,93.66773853384193
10,300,256,3,93.80964159712549
15,250,32,1,93.31298237530238
15,250,32,2,93.33026149061168
15,250,32,3,93.26498483277656
15,250,64,1,93.33602119571478
15,250,64,2,93.24578581576623
15,250,64,3,93.23618630726106
15,250,128,1,93.32066198210651
15,250,128,2,93.19010866643627
15,250,128,3,93.0979533847867
15,250,256,1,93.28610375148793
15,250,256,2,93.30914257190032
15,250,256,3,93.29378335829206
15,300,32,1,93.26647284931026
15,300,32,2,93.34647128836511
15,300,32,3,93.15915787009034
15,300,64,1,93.20013268033794
15,300,64,2,93.11037833408129
15,300,64,3,93.22744922050302
15,300,128,1,93.07915943103549
15,300,128,2,93.362080739888
15,300,128,3,93.14354841856745
15,300,256,1,93.10842715264093
15,300,256,2,93.27817993795243
15,300,256,3,93.26061930498918
