gap,seq_num,hidden_size,num_layer,ACC
15,80,32,1,87.56697957374804
15,80,32,2,86.10450827927964
15,80,32,3,87.41791225172233
15,80,64,1,87.62741227186656
15,80,64,2,87.73216228193868
15,80,64,3,87.73216228193868
15,80,128,1,88.40095080778373
15,80,128,2,88.98513355626284
15,80,128,3,88.2720277184642
15,80,256,1,88.70311429837638
15,80,256,2,89.28326820031425
15,80,256,3,89.70629708714395
15,100,32,1,89.81674971869474
15,100,32,2,90.00964475164764
15,100,32,3,90.1302041472432
15,100,64,1,90.32711782671596
15,100,64,2,91.19916412152386
15,100,64,3,90.25076354283877
15,100,128,1,91.28355569844076
15,100,128,2,91.2714997588812
15,100,128,3,91.13486577720624
15,100,256,1,91.61308471306864
15,100,256,2,92.13952740716927
15,100,256,3,91.95466966725607
15,150,32,1,92.21918249114901
15,150,32,2,92.36803990988092
15,150,32,3,92.48873511425813
15,150,64,1,93.4221113614419
15,150,64,2,92.55712906340521
15,150,64,3,93.06807209526875
15,150,128,1,93.31750885098165
15,150,128,2,91.92549082716447
15,150,128,3,92.38815577727712
15,150,256,1,93.56694560669456
15,150,256,2,93.39394914708723
15,150,256,3,93.57901512713228
15,200,32,1,93.30914953647722
15,200,32,2,92.21684804514308
15,200,32,3,92.273276904474
15,200,64,1,92.80532043530835
15,200,64,2,92.9907295445385
15,200,64,3,92.39419588875454
15,200,128,1,94.72390165255945
15,200,128,2,92.61185006045949
15,200,128,3,93.38976219266425
15,200,256,1,94.14752116082225
15,200,256,2,93.98226521563886
15,200,256,3,93.48246674727932
3,250,256,1,99.03351658095407
3,250,512,1,98.98192780796079
3,250,1024,1,98.47168260007416
3,300,256,1,98.65771812080537
3,300,512,1,98.83075927872564
3,300,1024,1,98.91242823643567
